Nat Sail no.,HelmName,CrewName,,R1,R2,R3,R4,R5,R6,R7,R8,R9,Nett,Rank
GER 9027,Wolfgang Hunger,Julien Kleiner,,6*,1,1,1,2,5,2,2,126 DNC*,14,1
DEN 8962,Jørgen Bojsen-Møller,Jacob Bojsen-Møller,,4,8*,2,2,3,2,1,12*,2,16,2
GBR 9032,Ian Pinnell,Ian Mitchell,,1,7,4,4,5,1,17*,31*,9,31,3
USA 8762,Howard Hamlin,Andy Zinn,,2,2,9,11,12*,13*,10,4,5,43,4
GER 9040,Meike Schomaeker,Holger Jess,,13*,11,7,10,4,12*,11,5,3,51,5
DEN 8964,Jan Saugmann,Morten Ramsbæk,,126 DNF*,126 DNC*,19,6,1,3,7,24,1,61,6
GER 9035,Stefan Böhm,Gerald Roos,,3,3,8,20,13,31*,9,19,36*,75,7
SWE 8926,Ebbe Rosén,Olle Wenrup,,12,6,16 DPI,3,16,53*,20,55*,11,84,8
GER 8992,Claas Lehmann,Leon Oehme,,10,32*,27,41*,20,14,5,9,7,92,9
GER 8728,Martin Görge,Rainer Görge,,9,5,30*,30,9,10,40*,6,24,93,10
GER 8651,Christian Kellner,Martin Schöler,,11,9,6,13 DPI,41 DPI*,9,63*,13,35,96,11
USA 8878,Edward Conrads,Brian Haines,,15,19,5,17,21,41*,52*,1,19,97,12
SUI 8954,Florian Stauffer,Philippe Jacot,,7,13,18,31*,35*,23,13,15,15,104,13
DEN 9023,Tom Bøjland,Anders Friis,,16,25,34*,7,8,16,24,27 DPI*,12,108,14
AUS 8886,Michael Quirk,Reffold,,21,126 DNF*,10,16,52*,11,29,8,18,113,15
USA 9007,Tyler Moore,Geoff Ewenson,,17,126 DNC*,20,12,44*,29,3,3,37,121,16
GBR 9012,Andy Smith,Tim Needham,,5,4,22,32,46*,22,25,16,42*,126,17
GER 8669,Florian Kemper,Michael Krause,,25,24.4 RDG,35*,13,11,40*,26,21,8,128.4,18
SUI 8543,Cédric Bart,Marti Ueli,,19,15,21,36,17,21,46*,37*,6,135,19
DEN 8440,Mikkel Christiansen,Mads Christiansen,,24,18,47*,5,30,30,62*,29,4,140,20
USA 9002,Mike Holt,Carl Smit,,126 DNF*,126 DNC*,12,24,45,4,22,10,34,151,21
GBR 9006,Terry Scutcher,Christian Diebitsch,,8,126 DSQ*,13,49*,41,24,6,17,44,153,22
USA 8808,Augie Diaz,Luke Lawrence,,14,14,31,15,54*,35,53*,23,25,157,23
GER 8975,Alexander Holzapfel,Stefan Worm,,26,21,26,37*,18,37,19,47*,26,173,24
DEN 8958,Nikolaj Hoffmann Buhl,Henrik Buhl,,47 DPI*,17 DPI,3,18,67*,46,27,41,22,174,25
USA 8722,Macy Nelson,Parry Barclay,,126 DNC*,16,17,33,26,19,43,20,50*,174,26
USA 8830,Ramsay Key,Andrew Buttner,,126 DNC*,126 DNC*,38,22,39,18,21,14,27,179,27
USA 8930,Ted Ferrarone,Doug McKeige,,23,26,29,31 DPI,38 DPI,27,8,39*,48*,182,28
GER 8875,Jens Findel,Johannes Tellen,,126 DNC*,126 DNC*,15,9,43,38,18,25,40,188,29
GER 9026,Hasso Plattner,Peter Alarie,,126 DNF*,24,16,39,31,20,12,57*,46,188,30
FRA 8950,Hervé de Kergariou,Basile Geron,,31,46,43,21,10,17,50*,71*,23,191,31
DEN 9038,Kim Christensen,Søren Overbeck,,48*,31,36,29,42,6,23,126 DNC*,25 DPI,192,32
FIN 8466,Sampsa Hyysalo,Antti Salonen,,22,20,25,48,48,7,56*,30,126 DNS*,200,33
GER 8721,Sophie Heyer,Sebastian Salein,,37,126 DNC*,24,19 DPI,12 DPI,64,4,126 DNC*,41,201,34
FRA 8844,Xavier Broise,Nicolas Des Jamonières,,30,126 DNF*,14,34,32,51*,33,36,22 DPI,201,35
RSA 8481,Peter Funke,Thomas Funke,,126 DNC*,17,42,42,22,8,42,33,49*,206,36
DEN 8828,Jon Andersen,Lasse Andersen,,23 DPI,27 DPI,53,44,19,66*,15,26,126 DSQ*,207,37
GBR 8701,Rob Napier,Francis Cram,,34,34,67*,38,6,42*,36,38,30,216,38
AUS 8801,Peter Chappell,Graeme Spence,,28,27,66*,23,50*,50,32,40,32,232,39
ITA 8916,Enrico Ciferri,Gabriele Natali,,126 DNC*,42 DPI,62*,50,40,43,16,18,31,240,40
GER 9043,Nicola Birkner,Angela Stenger,,126 DNF*,126 DNF*,59,28,37,15,48,50,10,247,41
GBR 9013,Tudor Owen,Nolan Forwood,,33,33,41,60*,28,39,57,28,126 DNC*,259,42
SUI 8613,Gilles Petermann,Laurent Grob,,40,35,48,35,15,48,39,87 DPI*,60*,260,43
AUS 8840,Kevin Cameron,Marcus Cooper,,126 DNC*,10,23,54,56,126 DNC*,60 DPI,27,33,263,44
FRA 9024,Kleber Valery,Claude Gachet,,126 DNC*,126 DNC*,46,58,27,33,44,51,13,272,45
GER 8874,Nørbert Dasenbrook,Sven Meier,,32,126 DNC*,32,46,74*,55,28,35,54,282,46
GER 8989,Andreas Jungclaus,Axel Priegann,,27,126 DNC*,40,126 DNS*,65,36,30,34,53,285,47
USA 8931,Daniel Esdorn,Joerg Esdorn,,29,30,71*,45,25,126 DSQ*,54 DPI,48,57 DPI,288,48
