Nation,Sail,Helm,Crew,Club,Race 1,Race 2,Points,Position
GBR,8690,George Simpkins,Mark Owen,CVSC,1,1,2,1
GBR,8429,Rob Napier,Jonathan Rennie,HOLYC & CCC,3,2,5,2
GBR,8694,Andy Williams,Andy Edmonds,PY&SC,2,4,6,3
GBR,8408,Mike Leaver,Dylan Marvelly,KGSC,4,3,7,4
GBR,7720,Peter Smithers,Owen Morgan,DSC,5,5,10,5
