Nation,Sail Number,Team,Club,R1,R2,R3,R4,T,N,Nr,
FIN,8678,Tatu Miettinen,Ville Tarvo,EMK,2,1,1,1,5,5,1
FIN,9069,Taru Karttunen,Tuomas Laurila,EMK,6,2,5,4,17,17,2
FIN,8405,Clarence Holmstrom,Eero Niemitalo,BSF,5,3,6,3,17,17,3
FIN,8053,Petri Ebeling,Juhani Heimsch,HSK,10.0DNS,6,3,2,21,21,4
FIN,9212,Thomas Held,Juha Nurmela,BSS,4,5,2,10.0DNF,21,21,5
FIN,8466,Hannu Pöyry,,VVK,3,4,4,10.0DNF,21,21,6
FIN,8127,Mikko Laine,Ilkka Tuomi,TPS,10.0DNF,7,7,5,29,29,7
FIN,8927,Kaj Lindfors,Johan Halonen,ASS,1,10.0DNF,10.0DNS,10.0DNS,31,31,8
FIN,8430,Raimo Raita,Timo Vennonen,Vene-71,10.0DNS,10.0DNS,10.0DNC,10.0DNC,40,40,9
