nation,Sail Number,Team,Club,R1,R2,R3,R4,T,N,Nr,
FIN,9069,Rosemarie Hartman,Tuomas Laurila,EMK,6,3,2,1,12,12,1
SWE,9002,Per Wester,Lars Wester,,1,2,3,16.0NSC,22,22,2
DEN,9187,Jan Saugmann,Christian Limbrecht Mogensen,Hellerup Sejlklub,2,1,5,16.0NSC,24,24,3
FIN,8927,Kaj Lindfors,Johan Halonen,ASS,5,5,1,16.0NSC,27,27,4
SWE,8586,Galen Mack,Colin Treseler,KSSS,3,6,4,16.0DNC,29,29,5
FIN,8405,Clarence Holmstrom,Jussi Kuosa,,10,7,6,16.0NSC,39,39,6
FIN,8466,Hannu Pöyry,,VVK,9,8,9,16.0NSC,42,42,7
FIN,8053,Petri Ebeling,Juhani Heimsch,HSK,7,4,16.0UFD,16.0NSC,43,43,8
FIN,7922,Olle Martonen,Mikael Nylund,WSF,11,9,7,16.0NSC,43,43,9
FIN,9212,Thomas Held,Juha Nurmela,BSS,8,11,8,16.0NSC,43,43,10
FIN,8127,Mikko Laine,Joni Juuri,TPS,14,10,11,16.0DNC,51,51,11
FIN,8678,Tatu Miettinen,Ville Tarvo,LPS,4,16.0UFD,16.0UFD,16.0BFD,52,52,12
FIN,835*,Kari Lehtonen,Timo Vennonen,HSK,13,16.0UFD,10,16.0NSC,55,55,13
FIN,8*,Taru Karttunen,Vertti Niemi,HSS,15,12,16.0DNC,16.0DNC,59,59,14
FIN,8430,Raimo Raita,Maria Kuosa,Vene-71,12,16.0DNC,16.0DNC,16.0DNC,60,60,15
