Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4","Race 5","Race 6","Race 7",Brutto,Netto,Place
GER,8772,"Ronald Roos","Kirsten Roos",SVWu,6,1,4,4,1,1,2,19,,1
GER,8777,"Stefan Schollmayer","Francisco Sanguino",SCMSP,4,2,2,2,2,2,5,19,,2
GER,8693,"Michael Daisenberger","Florian Lautenschläger",DTYC,2,6,3,1,5,4,1,22,,3
GER,8609,"Alexander Holzapfel","Stefan Worm",PSVK,3,5,1,6,3,5,6,29,,4
GER,8625,"Alex Cross","Falko Braun",SCR,5,3,7,3,6,3,4,31,,5
FRA,8484,"Philippe Blanchard","Carole Blattner",ACAL,1,"DNF 16",5,8,7,6,3,46,,6
GER,8327,"Dirk Frank","Stefan Kempf",SCS,7,4,6,5,8,7,8,45,,7
GER,8530,"Alexander von Mertens","Pia Wiesbauer",StSC,8,9,9,7,4,8,7,52,,8
GER,8725,"Thorge Holm","Rebecca Strahl",BCN,11,7,10,101,9,11,10,159,,9
GER,8450,"Jürgen Feuerhake","Wolfgang Kiefaber",YCSb,9,10,11,9,10,9,11,69,,10
GER,8418,"Oliver Koch","Markus Klos",SCBO,13,11,13,11,11,10,9,78,,11
GER,8642,"Heike Winchenbach","Christoph Klein",SKBUe,10,8,8,12,"DNC 16","DNC 16","DNC 16",86,,12
GER,8697,"Wilfried Stuis","Michael Denner",YCN,12,12,14,13,13,12,13,89,,13
GER,8424,"Claus-Michael Lehr","Christine Schaal-Lehr",SCNS,"DNF 16",13,12,14,12,13,12,92,,14
GER,7778,"Anne Nehrenberg","Hans Jürgen Nehrenberg",SCBo,"DNF 16","DNF 16","DNC 16","DNF 16","DNF 16",14,14,108,,15
