Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Brutto,Netto,Place
GER,8851,Wolfgang Hunger,Holger Jess,PYC,6,1,1,2,15,6,7,2,DNC 64,104,,1
GER,8651,Claas Lehmann,Martin Schöler,NRV,7,2,4,1,9,13,10,1,2,49,,2
USA,8266,Howard Hamlin,Cam Lewis,NHYC,4,3,13,7,14,1,5,4,5,56,,3
GER,8672,Christian Kellner,Klaus Stammerjohann,HSC,8,5,3,4,3,11,1,17,6,58,,4
USA,8888,Ami Finglas,Euan McNicol,,1,6,10,11,11,3,2,7,4,55,,5
GER,8850,Stefan Köchlin,Axel Priegann,SKF,2,7,6,DNC 64,24,2,12,5,19,141,,6
GER,8862,Stefan Böhm,Gerald Roos,SCV,11,4,5,3,8,19,9,15,14,88,,7
DEN,8656,Bo Petersen,Henrik Buhl,Faborg,DNC 64,11,11,20,6,7,8,8,3,138,,8
GER,8750,Michael Rössler,Holger Neuhaus,SKMD,3,10,DNF 64,5,27,10,3,18,9,149,,9
GER,8875,Jens Findel,Johannes Tellen,KYC,10,15,9,13,4,8,15,3,12,89,,10
GBR,8882,Ian Pinnell,Steven Hunt,GWSC,18,19,2,6,12,9,9,19,25,119,,11
GER,8622,Lutz Stengel,Frank Feller,ROYC,28,20,15,9,2,12,14,10,15,125,,12
GER,8873,Boris Herrmann,Julien Kleiner,ZSK,5,14,20,8,25,5,16,31,11,135,,13
GER,8876,Sophie Söllner,Wolfgang Stückl,CYC,DNC 64,16,DNF 64,18,1,20,11,6,8,208,,14
GER,8744,Jörg Häger,Hans-Heinrich Rix,SCB,12,DNF 64,18,16,19,16,13,12,1,171,,15
GER,8728,Kerstin Beuke,Rainer Görge,HYC,16,18,8,12,17,22,4,22,16,135,,16
GER,8843,Nicolai Völckner,Lars Dehne,HSC,DNC 64,8,7,10,21,4,21,37,DNF 64,236,,17
USA,8842,Mark Ivey,Shane Illidge,HHYC,13,25,16,14,18,14,23,23,10,156,,18
GER,8747,Jörg Thumann,Oliver Stieglitz,TuSJ,15,13,12,17,16,43,41,9,39,205,,19
GER,8725,Tom Gosch,Antje Gosch,ENSFV,14,35,DNF 64,15,5,17,19,43,18,230,,20
GER,8675,Volker Görge,Karsten Morf,TSVS,20,17,21,22,7,23,28,49,38,225,,21
GER,8466,Volker Niedik,Stefan Heising,BSV,DNC 64,9,24,26,34,DNC 64,17,25,13,276,,22
GER,8702,Martin Handel,Felix Klöpfer,SGK,22,27,26,23,46,36,20,13,17,230,,23
GER,8686,Christian Niefert,Thomas Weber,BSV,25,22,14,21,26,25,44,39,32,248,,24
GER,8609,Alexander Holzapfel,Eckart König,PSVK,DNC 64,12,30,35,20,24,18,48,28,279,,25
GER,8663,Norbert Dasenbrook,Sven Meier,KSW,9,28,19,24,29,29,42,34,36,250,,26
GER,8775,Carsten Engel,Tobias Neumeyer,PSVK,23,26,22,19,30,33,24,29,47,253,,27
GER,8662,Jan Stölken,Matthias Brühl,SCU,17,24,28,DSQ 64,51,15,26,44,31,300,,28
GER,8772,Ronald Roos,Kirsten Roos,SVWu,32,DNF 64,25,39,10,34,32,27,26,289,,29
GER,8563,Klaus Heeschen,Stefan Schmidt,WSCW,DNC 64,23,17,28,22,27,47,52,35,315,,30
GER,8711,Markus Maisenbacher,Urs Whilfahrt,WVH,29,30,33,32,40,18,29,50,29,290,,31
GER,8127,Kristine König,Thilo König,BSV,31,32,DNF 64,44,54,49,27,11,22,334,,32
GER,8522,Hannes Lehning,Christoph Fuchs,SWE,41,36,35,38,23,42,43,20,23,301,,33
GER,8825,Armin Eismann,Tino Käcks,SCA,21,39,DNF 64,37,43,21,56,32,24,337,,34
GER,8441,Rainer Gerdes,Falk Stenger,SSCK,27,41,34,42,45,39,33,24,21,306,,35
GBR,8885,Simon Lake,Ben Iliffe,P.Cambs,33,21,DNF 64,31,33,31,30,40,DNC 64,347,,36
GER,8625,Alex Cross,Falko Braun,SCR,DNC 64,34,DNF 64,29,39,30,22,46,20,348,,37
GER,8693,Michael Daisenberger,Florian Lautenschläger,DTYC,19,DNF 64,DNF 64,30,13,26,25,DNF 64,40,345,,38
GER,8874,Jürgen Waldheim,Martin Maal,PYC,37,38,27,40,35,DNC 64,46,16,33,336,,39
GER,8751,Melanie Horstmann,Angela Stenger,HSC,DNC 64,49,32,33,47,28,39,26,37,355,,40
GER,8385,Martin Bernauer,Ulf Geißler,CNFT,DNC 64,42,29,41,37,41,35,36,27,352,,41
GER,8712,Siegfried Labenz,Christian Labenz,SVWu,30,29,DNF 64,34,42,35,49,35,56,374,,42
GER,8657,Georg Neulen,Kai-Uwe Weiss,WYCA,35,33,31,43,36,38,48,42,42,348,,43
GER,8414,Stefan Worm,Wolfdietrich Pfeiffer,RYC,DNC 64,31,23,36,48,52,40,47,34,375,,44
GER,8788,Karsten Lahrs,Peter Gerdts,HYC,DNC 64,DNF 64,DNF 64,25,41,32,38,53,7,388,,45
GER,8806,Jan Forster,Daniel Wehden,SGaM,DNC 64,DNF 64,DNF 64,27,60,47,31,14,30,401,,46
DEN,8664,Franziska Unkelbach,Wolfgang Bogacki,KYC,24,DNF 64,DNF 64,48,49,48,37,30,43,407,,47
GER,8730,Jens Hufnagel,Markus Schöner,ScStM,34,DNF 64,DNF 64,54,28,37,34,51,48,414,,48
GER,8530,Alexander von Mertens,Pia Wiesbauer,StSC,26,40,DNF 64,45,31,54,50,55,50,415,,49
GER,8607,Antje Paulsen,Björn Schaar,BSV,36,45,47,DSQ 64,32,51,52,54,55,436,,50
GER,8769,Nathalie Friedrich,Claudius Zeiler,SCLW,DSQ 64,DNF 64,DNF 64,49,56,40,36,21,41,435,,51
GER,8105,Karsten Contag,Christian Schönbach,SCLW,44,50,38,58,59,53,51,38,45,436,,52
GER,8533,Roger Bussenius,Robert Bussenius,SCOH,38,48,DNF 64,56,52,45,55,33,54,445,,53
GER,8538,Lars Metzner,Enno Thaeter,SVN,40,47,DNF 64,46,61,56,53,41,51,459,,54
GER,8418,Jan Sell,Wiebke Gewinn,TUSF,DNC 64,37,DNF 64,50,50,44,57,57,44,467,,55
GER,8560,Christiane Giefers,Jens Krause,SVPB,DNC 64,46,DNF 64,57,53,55,58,28,49,474,,56
POL,7037,Jarosław Górski,Piotr Zoltowski,SKZ,42,43,36,55,55,57,62,58,DNF 64,472,,57
GER,8528,Andre Tirre,Frank Wille,YCS,DNC 64,44,DNF 64,51,38,50,54,61,52,478,,58
GER,8365,Andreas Lehmann,Robert Hanke,VsAW,39,DNF 64,DNF 64,47,44,46,DNC 64,DNC 64,DNC 64,496,,59
GER,7900,Felix Heibeck,Axel Isler,KSW,45,DNF 64,DNF 64,53,58,58,61,56,DNF 64,523,,60
GER,8370,Karsten Stümpel,Enno Wilts,HSC,43,DNF 64,DNF 64,52,57,DNC 64,59,60,DNC 64,527,,61
GER,8470,Roberto Steinke,Frank Zschieschang,WYC,DNC 64,DNF 64,DNF 64,DNF 64,DNC 64,DNC 64,45,45,46,520,,62
GER,8108,Thorge Holm,Rebecca Strahl,BCN,46,DNF 64,DNF 64,DNC 64,DNC 64,DNC 64,60,59,53,538,,63
