Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Brutto,Netto,Place
GER,8622,Lutz Stengel,Frank Feller,ROYC,1,1,2,3,4,2,13,,1
GER,8862,Stefan Böhm,Gerald Roos,SCV,3,DNC 21,4,1,1,1,31,,2
GER,8880,Helen Fischer,Robert Rothe,BYC,2,10,1,2,3,8,26,,3
GER,8663,Norbert Dasenbrook,Sven Meier,KSW,7,2,5,5,2,DNC 21,42,,4
GER,8478,Malte Christophersen,Sebastian Salein,KAR,6,4,6,7,6,DNF 21,50,,5
GER,8675,Volker Görge,Jens Hufnagel,TSVS,11,BFD 21,9,4,5,3,53,,6
GER,8563,Klaus Heeschen,Stefan Schmidt,WSCW,14,7,7,11,9,4,52,,7
GER,8874,Jürgen Waldheim,Martin Maal,PYC,12,3,15,8,11,6,55,,8
GER,8825,Armin Eismann,Tino Käcks,SCA,8,8,13,6,7,DNC 21,63,,9
GER,8127,Kristine König,Thilo König,BSV,5,13,10,DNC 21,12,7,68,,10
GER,8385,Martin Bernauer,Ulf Geißler,CNFT,18,15,3,10,8,DNC 21,75,,11
GER,8634,Oliver Booth,Gerrit Haaland,HSC,DNC 21,DNC 21,14,9,10,5,80,,12
GER,8470,Roberto Steinke,Frank Zschieschang,WYC,10,11,11,12,DNF 21,DNC 21,86,,13
GER,8522,Hannes Lehning,Christoph Fuchs,SWE,13,9,8,DNC 21,DNC 21,DNC 21,93,,14
GER,8873,Boris Herrmann,Julien Kleiner,ZSK,4,6,DNC 21,DNC 21,DNC 21,DNC 21,94,,15
GER,8806,Jan Forster,Daniel Wehden,SGaM,9,12,12,DNC 21,DNC 21,DNC 21,96,,16
GER,8370,Karsten Stümpel,Enno Wilts,HSC,17,17,16,DNC 21,DNC 21,DNC 21,113,,17
GER,8850,Stefan Köchlin,Axel Priegann,SKF,OCS 21,5,DNC 21,DNC 21,DNC 21,DNC 21,110,,18
GER,8607,Antje Paulsen,Björn Schaar,BSV,15,14,DNC 21,DNC 21,DNC 21,DNC 21,113,,19
GER,8437,Sebastian Schröder,Carl-Uwe Böttner,WSV1921,16,16,DNF 21,DNC 21,DNC 21,DNC 21,116,,20
