Country,"Boat Number",Helm,Crew,Club,"Race 1",Brutto,Netto,Place
GER,8463,"Sebastian Dörr","Wolfgang Stückl",HSC,1,1,1,1
GER,8693,"Michael Daisenberger","Florian Lautenschläger",DTYC,2,2,2,2
GER,8507,"Thorsten Koch","Anne Geismann",SCLW,3,3,3,3
GER,8519,"Robert Wisolek","Guido von Walter",SCLW,4,4,4,4
GER,8105,"Karsten Contag","Nette Jansen",SCLW,5,5,5,5
GER,8751,"Angela Stenger","Andreas Achterberg",MYC,6,6,6,6
GER,8570,"Alexander Kodisch","Dominik Hafner",DTYC,7,7,7,7
GER,8539,"Hendrik Schultz","Ute Oberländer",SCLW,8,8,8,8
GER,8777,"Stefan Schollmayer","Francisco Sanguino",SCMSP,9,9,9,9
GER,8654,"Nikolaus Jägersberg","Wolfgang Hiltscher",SCLW,10,10,10,10
GER,8861,"Hans-Otto Frisch","Achim Funk",SCLW,11,11,11,11
GER,8769,"Nathalie Friedrich","Claudius Zeiler",SCLW,12,12,12,12
GER,8562,"Wolfgang Seifert","Christian Voggeser",SCLW,13,13,13,13
GER,8658,"Hanno Stratmann","Johannes Schmederer",SCLW,14,14,14,14
GER,8642,"Thoralf Greger","Christoph Klein",ASVG,15,15,15,15
GER,8475,"Göran Berggren","Christina Berggren",SCLW,16,16,16,16
GER,8204,"Sonja Göggelmann","Christian Schönbach",TSVH,17,17,17,17
GER,7854,"Timo Klapper","Christoph Demarczyk",SCLW,18,18,18,18
GER,8579,"Peter Wackerbauer","Benjamin Grosskurth",RSB,19,19,19,19
GER,7970,"Nils Burghard","Rainer Schork",SCLW,20,20,20,20
GER,8388,"Peter Wolffram","Stephan Ottenschläger",,21,21,21,21
GER,7921,"Jochen Heydolph","Jürgen Wiesmeier",SCLW,22,22,22,22
GER,8697,"Wilfried Stuis","Michael Denner",YCN,23,23,23,23
