Platz,Steuermann,Vorschoter,Club,Boot,Platzierungen,Punkte
1,Helen Fischer,Robert Rothe,BYC,GER 8880,"1,1,1,1,DNC",110
2,Malte Christophersen,Sebastian Salein,KAR,GER 8478,"6,2,4,2,1","102,14"
3,Volker Görge,Karsten Morf,TSVS,GER 8675,"2,5,2,7,3","94,29"
4,Olaf Oberländer,Frank Feller,CKA,GER 8622,"5,3,3,9,4","86,43"
5,Jens Hufnagel,Lars Dehne,ScStM,GER 8843,"4,4,6,3,DNC","78,57"
6,Andreas Lehmann,Robert Hanke,VsAW,GER 8365,"8,8,9,5,2","70,71"
7,Armin Eismann,Tino Käcks,SCA,GER 8825,"7,7,7,4,5","62,86"
8,Jan Forster,Daniel Wehden,SGaM,GER 8806,"3,6,8,10,8",55
9,Klaus Heeschen,Karsten Stümpel,WSCW,GER 8563,"10,9,5,8,9","47,14"
10,Andreas Jungclaus,Stefan Roth,HSC,GER 6816,"DSQ,10,5,8,9","39,29"
11,Jan Sell,Wiebke Gewinn,TUSF,GER 8418,"9,11,10,11,10","31,43"
12,Steve Kwee,Wolfgang Ebigt,HSC,GER 8619,"11,12,12,12,7","23,57"
13,Max Rauner,Norbert Prahl,SVTH,GER 8282,"DNF,14,11,DNC,DNC","15,71"
14,Christian Lempp,Milan Plogsties,HSC,GER 7746,"DSQ,13,DNC,DSQ,DNC","7,86"
