Nation,SEGELNR,Helm,Crew,CLUB,PL(1.Wf),PL(2.Wf),PL(3.Wf),PL(4.Wf),PL(5.Wf),PL(6.Wf),PL(7.Wf),PL(8.Wf),PL(9.Wf),G-PKTE,G-PL
GER,8851,Hunger Wolfgang,Jess Holger,PYC KYC,6,1,1,2,[15],6,7,2,[DNS],25,1
GER,8651,Lehmann Claas,Schöler Martin,NRV DSC,7,2,4,1,9,[13],[10],1,2,26,2
USA,8266,Hamlin Howald,Lewis Cam,ABYC NYYC,4,3,[13],7,[14],1,5,4,5,29,3
GER,8672,Kellner Christian,Klaus Stammerjohann,HSC SCWS,8,5,3,4,3,[11],1,[17],6,30,4
USA,8888,Finglas Adrian,Euan Mcnicol,RQYS CYCA,1,6,10,[11],[11],3,2,7,4,33,5
GER,8850,Köchlin Stefan,Priegann Axel,SKF SKF,2,7,6,[DNS],[24],2,12,5,19,53,6
GER,8862,Böhm Stefan,Roos Gerald,SCV SVWu,11,4,5,3,8,[19],9,[15],14,54,7
DEN,8656,Petersen Bo,Buhl Henrik,Fåborg Sejlklub/Sletten Bå,[DNS],11,11,[20],6,7,8,8,3,54,8
GER,8750,Rössler Michael,Neuhaus Holger,SKMD SC Hatt.,3,10,[DNF],5,[27],10,3,18,9,58,9
GER,8875,Findel Jens,Tellen Johannes,KYC RSC,10,[15],9,13,4,8,[15],3,12,59,10
GBR,8882,Pinnell Ian,Hunt Steve,HISC PYC,18,[19],2,6,12,9,6,19,[25],72,11
GER,8622,Stengel Lutz,Feller Frank,RoYC,[28],[20],15,9,2,12,14,10,15,77,12
GER,8873,Herrmann Boris,Kleiner Julien,ZSK KYC,5,14,20,8,[25],5,16,[31],11,79,13
GER,8876,Söllner Sophie,Wolfgang Stückl,CYC DTYC,[DNS],16,[DNF],18,1,20,11,6,8,80,14
GER,8744,Häger Jörg,Rix Heini,SCB TSVS,12,[DNF],18,16,[19],16,13,12,1,88,15
GER,8728,Kerstin Beuke,Rainer Görge,HYC,16,18,8,12,17,[22],4,[22],16,91,16
