Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Brutto,Netto,Place
GER,8539,Hendrik Schultz,Ute Oberländer,SCLW,2,1,1,4,4,1
GER,8519,Robert Wisolek,Guido von Walter,SCLW,1,2,2,5,5,2
GER,8507,Benjamin Grosskurth,Thorsten Koch,SCLW,4,3,3,10,10,3
GER,8861,Hans-Otto Frisch,Achim Funk,SCLW,3,5,4,12,12,4
GER,8518,Klaus Eifler,Thomas Thym,SCLW,5,4,10,19,19,5
GER,7921,Jochen Heydolph,Melanie Tschiche,SCLW,11,6,5,22,22,6
AUT,8482,C. Pirker,Christian Engl,SCLW,8,10,6,24,24,7
GER,8579,Peter Wackerbauer,L Lieret,RSB,10,8,7,25,25,8
GER,8388,Peter Wolffram,Stephan Ottenschläger,,7,9,9,25,25,9
GER,8719,Albrecht Maisch,Frank Letsche,SGK,9,11,8,28,28,10
GER,8658,Hanno Stratmann,Fanni Stratmann,SCLW,5,12,11,28,28,11
GER,7854,Timo Klapper,Corinne Klapper,SCLW,12,7,DNF 14,33,33,12
GER,7708,Fabian Martyson,Berthold Frohmader,SGR,13,13,DNC 14,40,40,13
