Platz,Steuermann,Vorschoter,Club,Boot,Platzierungen,Punkte
1,Helen Fischer,Robert Rothe,BYC,GER 8880,"3,2,1",120
2,Stefan Köchlin,Axel Priegann,SKF,GER 8850,"2,3,2","111,43"
3,Jens Findel,Holger Jess,KYC,GER 8878,"1,4,3","102,86"
4,Boris Herrmann,Julien Kleiner,ZSK,GER 8873,"6,1,4","94,29"
5,Jens-Peter Schlomka,Urs Wihlfart,TSVS,GER 8665,"4,5,7","85,71"
6,Tim Steinert,Lars Dehne,ZSK,GER 8843,"5,6,8","77,14"
7,Jürgen Anton,Thomas Tschentscher,HSC,GER 8433,"7,7,5","68,57"
8,Annika Lüneberg,Franziska Stolzmann,KAR,GER 8599,"8,11,9",60
9,Jörg Thumann,Oliver Stieglitz,TuSJ,GER 8747,"DNC,8,6","51,43"
10,Klaus Heeschen,Eva Steinjans,WSCW,GER 8563,"9,9,OCS","42,86"
11,Karsten Stümpel,Jens Hufnagel,HSC,GER 8370,"DNF,10,10","34,29"
12,Peter Schäftlein,Uwe Kersten,SVF,GER 8252,"10,DSQ,11","25,71"
13,Stephan RAmm,Andreas Ramm,NRV,GER 388,"11,DNC,DNC","17,14"
14,Heiko Wehde,Carsten Boldt,SVF,GER 7548,"12,DNC,DNC","8,57"
