Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4","Race 5",Brutto,Netto,Place
GER,8751,"Christian Kellner","Angela Stenger",HSC,1,2,5,2,1,11,,1
GER,8580,"Markus Mühlbauer","Andreas Achterberg",DTYC,6,1,1,1,4,13,,2
GER,8642,"Thoralf Greger","Christoph Klein",ASVG,5,4,4,3,2,18,,3
GER,8507,"Benjamin Grosskurth","Thorsten Koch",SCLW,2,8,3,9,3,25,,4
GER,8539,"Hendrik Schultz","Ute Oberländer",SCLW,3,9,2,5,6,25,,5
GER,8702,"Martin Handel","Felix Klöpfer",SGK,7,5,10,4,5,31,,6
GER,8693,"Michael Daisenberger","Florian Lautenschläger",DTYC,4,"DNF 24",7,6,7,48,,7
GER,8562,"Wolfgang Seifert","Christian Voggeser",SCLW,9,7,6,7,8,37,,8
GER,8519,"Robert Wisolek","Guido von Walter",SCLW,13,3,8,8,"DNF 24",56,,9
GER,8530,"Alexander von Mertens","Pia Wiesbauer",StSC,11,6,12,11,9,49,,10
GER,8463,"Sonja Göggelmann","Wolfgang Stückl",TSVH,10,10,11,10,"DNC 24",65,,11
GER,7661,"Christina Höll","Alexander Wilhelm",HSC,12,11,9,19,10,61,,12
GER,7921,"Jochen Heydolph","Manfred Endrejat",SCLW,14,14,14,14,11,67,,13
GER,7970,"Nils Burghard","Rainer Schork",SCLW,16,15,16,12,12,71,,14
GER,8105,"Karsten Contag","Patrick Behrends",SCLW,18,12,13,20,13,76,,15
GER,8719,"Albrecht Maisch","Frank Letsche",SGK,19,13,15,16,15,78,,16
GER,8365,"Sabine Foellbach","Robert Hanke",SLRV,15,18,"DNC 24",17,15,89,,17
GER,8777,"Johannes Schmederer","Francisco Sanguino",DTYC,22,16,"DNC 24",13,17,92,,18
GER,8388,"Peter Wolffram","Dietmar Roggenbau",,20,17,"DNC 24",15,18,94,,19
GER,8697,"Wilfried Stuis","Michael Denner",YCN,23,"DNF 24",17,18,16,98,,20
GER,8861,"Hans-Otto Frisch","Achim Funk",SCLW,8,"DNC 24","DNC 24","DNC 24","DNC 24",104,,21
GER,8579,"Peter Wackerbauer","Christian Schönbach",RSB,17,"DNF 24","DNC 24","DNC 24","DNC 24",113,,22
GER,8204,"Wiebke Waldheim","Juan Don",SCLW,21,"DNC 24","DNC 24","DNC 24","DNC 24",117,,23
