Platz,Steuermann,Vorschoter,Club,Boot,Platzierungen,Punkte
1,Boris Herrmann,Rainer Görge,ZSK,GER 8873,"1,1,1,5",100
2,Jens Findel,Carsten Engel,KYC,GER 8875,"2,4,3,1","91,67"
3,Klaus Heeschen,Catrin Jansen,WSCW,GER 8563,"3,2,5,3","83,33"
4,Bernd Rasenack,Maike Miechelsen,ZSK,GER 8608,"4,3,7,4",75
5,Nicolai Völckner,Lars Dehne,HSC,GER 8843,"9,5,2,6","66,67"
6,Rainer Gerdes,Falk Stenger,SSCK,GER 8441,"5,7,4,9","58,33"
7,Michael Köritz,Harald Hundt,USCO,GER 7035,"8,6,9,7",50
8,Andreas Jungclaus,Stefan Roth,HSC,GER 6816,"11,9,11,2","41,67"
9,Andre Tirre,Frank Wille,YCS,GER 8528,"6,8,10,8","33,33"
10,Tim Steinert,Anna Lang,ZSK,GER 7048,"7,11,8,10",25
11,Wolfgang Tieschäfer,Heiko Böhring,YCZ,GER 7539,"12,12,6,12","16,67"
12,Jan Sell,Wiebke Gewinn,TUSF,GER 8418,"10,10,12,11","8,33"
