Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4",Brutto,Netto,Place
GER,8665,"Jens-Peter Schlomka","Urs Wihlfart",TSVS,1,1,5,1,8,,1
GER,8825,"Armin Eismann","Tino Käcks",SCA,4,4,1,3,12,,2
GER,8669,"Tim Böger","Thomas Jung",HSC,8,2,4,2,16,,3
GER,8747,"Norbert Dasenbrook","Oliver Stieglitz",KSW,2,3,3,4,12,,4
GER,8433,"Jürgen Anton","Thomas Tschentscher",HSC,3,11,2,6,22,,5
GER,8607,"Antje Paulsen","Björn Schaar",BSV,6,5,8,8,27,,6
GER,8418,"Jan Sell","Wiebke Gewinn",TUSF,7,7,6,10,30,,7
GER,7131,"Stefan Roth","Jürgen Wasceszio",HSC,9,8,9,9,35,,8
GER,8522,"Hannes Lehning","Christoph Fuchs",SWE,"DNC 17",6,"OCS 17",5,45,,9
GER,8538,"Lars Metzner","Enno Thaeter",SVN,5,"OCS 17",7,"DNC 17",46,,10
GER,7732,"Markus Hintz","Bruno Laudage",HSC,10,10,13,11,44,,11
GER,5896,"Ole Paulsen","Hannes Becker",BSV,"DNC 17","DNC 17",10,7,51,,12
GER,8517,"Tobias Kollmann","Wolf Pfeiffer",KYC,"DNF 17",12,11,14,54,,13
GER,8500,"Lutz Kandzia","Simone Brunner",ASV,"DNC 17","DNC 17",12,12,58,,14
GER,7746,"Christian Lempp","Angela Müller",HSC,"DNC 17",9,"DNF 17","DNC 17",60,,15
GER,8370,"Karsten Stümpel","Matthias Struck",HSC,"DNF 17","DNF 17",14,13,61,,16
