Platz,Steuermann,Vorschoter,Club,Boot,Platzierungen,Punkte
1,Martin Görge,Rainer Görge,TSVS,GER 8728,"1,1,1,1",110
2,Joachim Hellmich,Christian Paschen,WYD,GER 8671,"2,4,2,2","100,83"
3,Michael Rössler,Holger Neuhaus,SKMD,GER 8750,"6,3,3,3","91,67"
4,Tim Böger,Thomas Jung,HSC,GER 8669,"7,2,7,4","82,5"
5,Sabine Meyer,Steffen Achenbach,SCED,GER 8725,"3,7,5,5","73,33"
6,Alexander Holzapfel,Markus Schöner,PSVK,GER 8609,"4,5,4,6","64,17"
7,Franziska Unkelbach,Uwe Lätzsch,KYC,GER 8664,"5,6,9,DNC",55
8,Hendrik Ismar,Arnd Hover,WYD,GER 8670,"8,8,6,7","45,83"
9,Carsten Engel,Tobias Neumeyer,PSVK,GER 8775,"9,9,8,8","36,67"
10,Christiane Giefers,Thorge Holm,SVPB,GER 8874,"10,11,10,9","27,5"
11,Karsten Stümpel,Enno Wilts,HSC,GER 8730,"11,10,11,10","18,33"
12,Tobias Kollmann,Jost Adler,KYC,GER 8517,"12,12,12,11","9,17"
