Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Brutto,Netto,Place
GER,8539,Hendrik Schultz,Ute Oberländer,SCLW,1,3,2,6,6,1
GER,8876,Sophie Söllner,Wolfgang Stückl,CYC,5,1,1,7,7,2
GER,8693,Michael Daisenberger,Florian Lautenschläger,DTYC,3,2,5,10,10,3
GER,8751,Melanie Horstmann,Angela Stenger,HSC,4,4,10,18,18,4
GER,8519,Robert Wisolek,Guido von Walter,SCLW,10,6,3,19,19,5
GER,8642,Thoralf Greger,Christoph Klein,ASVG,6,7,9,22,22,6
GER,8777,Stefan Schollmayer,Francisco Sanguino,SCMSP,7,8,8,23,23,7
GER,8562,Wolfgang Seifert,Christian Voggeser,SCLW,8,15,4,27,27,8
GER,8702,Martin Handel,Felix Klöpfer,SGK,9,19,6,34,34,9
GER,8572,Peter Heimbeck,Andreas Jakob,SCLW,12,10,12,34,34,10
GER,8518,Klaus Eifler,Thomas Thym,SCLW,17,9,11,37,37,11
GER,8861,Hans-Otto Frisch,Achim Funk,SCLW,2,5,DNC 33,40,40,12
GER,8691,Günther Böckle,Frank Heimburger,SSCM,14,13,16,43,43,13
GER,8654,Nikolaus Jägersberg,Wolfgang Hiltscher,SCLW,23,17,7,47,47,14
GER,8507,Thorsten Koch,Franziska Koch,SCLW,20,16,14,50,50,15
GER,7921,Jochen Heydolph,Eckhard Busch,SCLW,24,14,13,51,51,16
GER,8475,Göran Berggren,Agnes Berggren,SCLW,13,20,21,54,54,17
GER,8105,Karsten Contag,Nette Jansen,SCLW,15,22,17,54,54,18
GER,8658,Hanno Stratmann,Fanni Stratmann,SCLW,18,11,26,55,55,19
GER,8463,Frieder Achterberg,Stefan Kopycok,DTYC,16,12,DNF 33,61,61,20
GER,8546,Dirk Hänsgen,Frank Rupprich,SVPB,26,18,18,62,62,21
GER,7854,Timo Klapper,Christoph Demarczyk,SCLW,22,24,19,65,65,22
GER,8570,Dominik Hafner,Christian Schönbach,,11,30,25,66,66,23
GER,7801,Benjamin Grosskurth,Peter Scholz,SCLW,21,23,22,66,66,24
GER,7970,Nils Burghard,Rainer Schork,SCLW,DSQ 33,21,15,69,69,25
GER,8719,Albrecht Maisch,Frank Letsche,SGK,19,29,24,72,72,26
GER,8388,Peter Wolffram,Stephan Ottenschläger,,25,27,20,72,72,27
AUT,8482,Clemens Pirker,Christian Engl,SCLW,30,26,23,79,79,28
GER,8697,Wilfried Stuis,Michael Denner,YCN,28,25,27,80,80,29
GER,8571,Uwe Hoffmann,Verena Hoffmann,WSVR,29,28,28,85,85,30
GER,7708,Fabian Martyson,Robert Martyson,SGR,27,DNC 33,DNC 33,93,93,31
GER,8204,Rebecca Strahl,Sebastian Hoering,BOHYC,31,DNC 33,DNC 33,97,97,32
