Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3",Brutto,Netto,Place
GER,8873,"Felix Oehme","Julien Kleiner",,4,2,2,8,8,1
GER,8807,"Morten Bogacki","Wolfgang Bogacki",DYC,3,5,1,9,9,2
GER,8728,"Dietrich Scheder-Bieschin","Rainer Görge",NRV,1,6,3,10,10,3
GER,8651,"Claas Lehmann","Martin Schöler",NRV,2,1,8,11,11,4
GER,8669,"Tim Böger","Andreas John",HSC,5,3,4,12,12,5
GER,8670,"Silke Hahlbrock","Arnd Hover",HSC,6,4,6,16,16,6
GER,8851,"Eva Steinjans","Holger Jess",TSVS,10,7,5,22,22,7
GER,8843,"Jens Hufnagel","Lars Dehne",ScStM,8,9,9,26,26,8
GER,8662,"Jan Stölken","Matthias Brühl",SCU,9,8,10,27,27,9
GER,8665,"Jens-Peter Schlomka","Urs Wihlfart",TSVS,7,"BFD 22",7,36,36,10
GER,8522,"Hannes Lehning","Holger Lehning",SWE,15,10,13,38,38,11
GER,6816,"Andreas Jungclaus","Ulf Denecke",HSC,14,13,12,39,39,12
GER,8563,"Klaus Heeschen","Karsten Stümpel",WSCW,12,14,15,41,41,13
GER,8874,"Christiane Giefers","Stefan Worm",SVPB,21,11,11,43,43,14
GER,8418,"Jan Sell","Wiebke Gewinn",TUSF,11,15,17,43,43,15
GER,6786,"Hendrik Reinhardt","Anika Kerkow",SVSF,20,12,14,46,46,16
GER,7035,"Michael Köritz","Harald Hundt",USCO,16,16,16,48,48,17
GER,8619,"Steve Kwee","Henrik Masekowitz",HSC,13,17,19,49,49,18
GER,8575,"Oliver Korittki","Benjamin Bintig",SLSV,17,18,20,55,55,19
GER,7746,"Christian Lempp","Andre Lendi",HSC,19,20,18,57,57,20
GER,7732,"Markus Hintz","Andreas Frech",HSC,18,91,21,130,130,21
