,Boot,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Platzierungen 4,Punkte,Pl.
GER,8851,Wolfgang Hunger,Holger Jess,PYC,1,1,1,DNC 26*,3,1
GER,8843,Nicolai Völckner,Lars Dehne,HSC,10*,5,2,1,8,2
GER,8875,Jens Findel,Johannes Tellen,KYC,5*,2,5,3,10,3
GER,8873,Boris Herrmann,Julien Kleiner,ZSK,4,7*,4,2,10,4
GER,8563,Klaus Heeschen,Stefan Schmidt,WSCW,6,8*,3,8,17,5
DEN,8849,Per Larsen,Henrik Andersen,Farum,2,4,14,DNC 26*,20,6
GER,8665,Jens-Peter Schlomka,Urs Wihlfahrt,TSVS,8,13*,6,6,20,7
GER,8730,Jens Hufnagel,Markus Schöner,ScStM,15*,9,7,5,21,8
GER,8686,Christian Niefert,Thomas Weber,BSV,9,3,10,DNC 26*,22,9
GER,8775,Carsten Engel,Tobias Neumeyer,PSVK,12,6,8,DNC 26*,26,10
GER,8747,Jörg Thumann,Oliver Stieglitz,TuSJ,11,12,17*,4,27,11
GER,8874,Jürgen Waldheim,Martin Maal,PYC,14,10,9,DNC 26*,33,12
GER,8385,Martin Bernauer,Ulf Geißler,CNFT,13*,11,13,9,33,13
GER,8657,Georg Neulen,Wolf Pfeiffer,WYCA,17,DNC 26*,11,7,35,14
GER,8333,Torsten Trümper,Carsten Seeger,SCS 78,20*,16,15,10,41,15
GER,8651,Oliver Booth,Gerrit Haaland,HSC,18,15,16,DNC 26*,49,16
GER,8478,Malte Christophersen,Sebastian Salein,KAR,21,17,15,DNC 26*,53,17
GER,8533,Roger Bussenius,Robert Bussenius,SCOH,16,DNC 26*,12,DNC,54,18
GER,8788,Karsten Lahrs,Peter Gerdts,HYC,20,14,DNC 26*,DNC,60,19
DEN,8440,Mikkel Christiansen,Mads Christiansen,Aas,19,16,DNC 26*,DNC,61,20
GER,8806,Jan Forster,Daniel Wehden,SGaM,3,DNC 26*,DNC,DNC,55,21
GER,8531,Michael Troch,Axel Priegann,SGJ,7,DNC 26*,DNC,DNC,59,22
DEN,8728,Kerstin Beuke,Rainer Görge,HYC,22,DNC 26*,DNC,DNC,74,23
GER,8458,Christiane Giefers,Michael Henne,SVPB,23,DNC 26*,DNC,DNC,75,24
GER,8575,Benjamin Bintig,Oliver Korittki,YCO,24,DNC 26*,DNC,DNC,76,25
