Platz,Steuermann,Vorschoter,Club,Boot,Platzierungen,Punkte
1,Lutz Stengel,Frank Feller,ROYC,GER 8622,"1,1,6,1,3",115
2,Helen Fischer,Robert Rothe,BYC,GER 8880,"2,5,1,3,1","110,89"
3,Boris Herrmann,Julien Kleiner,ZSK,GER 8873,"3,4,3,5,6","106,79"
4,Jan Forster,Daniel Wehden,SGaM,GER 8806,"4,8,5,2,16","102,68"
5,Jürgen Waldheim,Holger Jess,PYC,GER 8874,"10,2,4,10,5","98,57"
6,Jens-Peter Schlomka,Urs Wihlfart,TSVS,GER 8665,"6,12,7,4,4","94,46"
7,Martin Bernauer,Ulf Geisler,CNFT,GER 8385,"16,3,11,12,2","90,36"
8,Axel Oberemm,Carsten Fischbach,BYC-SC,GER 8550,"7,6,9,8,12","86,25"
9,Volker Görge,Jens Hufnagel,TSVS,GER 8675,"14,15,2,9,7","82,14"
10,Malte Christophersen,Sebastian Salein,KAR,GER 8478,"5,7,12,OCS,11","78,04"
11,Armin Eismann,Tino Käcks,SCA,GER 8825,"12,14,8,7,8","73,93"
12,Anna Lang,Lars Dehne,WVH,GER 8843,"9,11,DNC,6,13","69,82"
13,Karsten Contag,Torsten Simon,SCLW,GER 8672,"11,13,13,16,10","65,71"
14,Michael Troch,Eckart König,SGJ,GER 8531,"8,9,17,OCS,14","61,61"
15,Henrik Buhl,Johnny Rodholm,FSDK,DEN 8416,"15,20,19,11,9","57,5"
16,Andreas Lehmann,Robert Hanke,VsAW,GER 8365,"13,19,16,13,23","53,39"
17,Mathias Konrad-Schmolke,Florian Fussel,SV03,GER 8798,"17,16,14,15,19","49,29"
18,Hannes Lehning,Christoph Fuchs,SWE,GER 8522,"21,10,15,21,18","45,18"
19,Alexander von Mertens,Martin Maal,StSC,GER 8530,"22,18,10,19,17","41,07"
20,Hendrik Reinhardt,Anika Kerkow,SVSF,GER 6786,"20,17,18,20,15","36,96"
21,Annika Lüneberg,Franziska Stolzmann,KAR,GER 8599,"19,21,DNC,17,20","32,86"
22,Klaus Heeschen,Oliver Braun,WSCW,GER 8563,"27,23,DNC,17,20","28,75"
23,Roger Bussenius,Robert Bussenius,SCOH,GER 8533,"23,22,22,22,25","24,64"
24,Peter Wolffram,Pia Matscheroth-Brodwurm,,GER 8388,"26,24,20,25,21","20,54"
25,Oliver Booth,Gerrit Haaland,HSC,GER 8634,"DNC,DNC,DNC,13,22","16,43"
26,Piotr Zoltowski,Zargorski Przemek,ZSK,POL 7539,"24,25,21,23,27","12,32"
27,Christiane Giefers,Arne Schönfeld,SVPB,GER 8884,"18,DNF,DNF,24,26","8,21"
28,Karsten Stümpel,Enno Wilts,HSC,GER 8730,"25,26,DNC,DNC,DNC","4,11"
