Nation,Boat,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,,
FRA,0,Florian Faucheux,Nicolas Croce,C N CANET PERPIGNAN,1,1,1,2*,1,1,5,1
FRA,0,Jean Philippe Chartier,Jean Louis Guibbal,C Y V PARELOUP,2,3,2,1,4*,2,10,2
FRA,0,Bernard Dugrip,Barbara Dugrip,C Y V PARELOUP,6 DNF*,2,3,4,3,3,15,3
FRA,0,Paul-Henri Delmur,Patrick Delmur,C Y V PARELOUP,4*,4,4,3,2,4,17,4
FRA,0,Philippe Bradfer,Pierre Bradfer,C Y V PARELOUP,3,5*,5,5,5,5,23,5
