Nat,Boat,Helmsman,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Pts.,Pos.
AUS,7481,Dean Blatchford,Tom Woods,,13,12,1,6,3,8,49.4,1
GBR,7589,Peter Colclough,Harold Barnes,,2,7,24,9,1,14,51,2
USA,7152,Howard Hamlin,Rick Rattray,,10,6,7,5,9,4,57.7,3
SWE,7591,Ebbe Rosén,Olle Wenrup,,4,8,30,2,34,1,61,4
AUS,7508,Paul Remington,Paul Campbell,,1,32,14,3,11,15,63.7,5
USA,7358,J.B Braun,Bill Kenney,,19,3,3,11,13,11,64.4,6
GBR,7622,Peter White,Bev Moss,,11,1,13,16,25,9,73,7
DEN,7697,Jörgen Schönherr,Michael Poulsen,,3,28,54,1,2,36,84.7,8
SWE,7593,Staffan Eklund,Göran Bobeck,,6,17,57,8,6,20,86.4,9
USA,7603,Jim Maloney,John Gilmour,,12,27,4,20,12,19,95,10
GER,7659,A. John,R. Kadenbach,,49,2,12,39,15,5,97,11
AUS,7535,P. Hewson,A. Ovenden,,9,25,2,DNF,16,24,101,12
SWE,7343,Kalle Nilsson,Bengt Zachrisson,,24,2,27,50,7,2,107,13
SUI,7635,Urs Scherrer,Ruedi Mathis,,DSQ,10,25,21,17,10,113,14
AUS,7477,M. Soulsby,A. Hansen,,5,54,10,4,DNF,13,113,15
GBR,7524,P. Milanes,J. Labbett,,14,20,16,15,30,27,122,16
HKG,7529,E. Lockeyear,L. Mead,,15,11,6,46,31,32,125,17
SWE,7482,Niklas Philipsson,Lars Stugemo,,DSQ,18,40,25,4,12,127,18
RSA,7682,R. Willcox,D. Herrmann,,28,29,22,24,8,21,133,19
GER,7528,M. v Blumencron,A. Florack,,23,24,19,17,21,DNF,134,20
FIN,7581,P. Leksis,K. Lautanen,,21,37,9,28,10,45,135,21
FRA,7501,H. Wattine,P. Solatges,,30,33,11,18,22,DNF,144,22
SUI,7389,W. Mueller,M. Real,,36,58,5,36,20,18,144,23
USA,7607,J. Miller,B. Heckmann,,8,14,38,43,26,29,145,24
DEN,7020,J. Nielsen,F. Jensen,,29,4,35,31,24,41,151,25
SWE,7655,Krister Bergström,Joakim Peterson,,7,RET,15,14,DNF,3,156.7,26
SWE,7455,Petter Bengtsson,Lars Hultgren,,32,41,71,29,19,6,156.7,27
USA,6992,T. Poore,A. Worman,,17,DNF,33,10,37,35,162,28
GBR,7664,C. Robinson,M. Swallow,,25,76,8,30,32,43,168,29
GBR,7627,Dave Clarke,N. McDonald,,40,48,23,61,23,7,171,30
USA,7153,W. Jager,R. Park,,RET,38,34,7,47,22,178,31
SUI,7520,U. Fehlmann,M. Fehlmann,,43,19,29,57,29,37,187,32
DEN,7381,P. Frederiksen,P. Strange,,59,72,43,27,5,38,201,33
GBR,7447,D. Treloar,A. Bailey,,27,5,50,51,39,51,201,34
GBR,7547,A. Gilmour,N. Squirell,,18,34,26,34,RET,59,201,35
GBR,7656,Kobylanski,P. Greenwood,,16,35,44,22,RET,55,202,36
GBR,7700,V. Ralston,P. Siddal,,22,44,76,26,57,31,210,37
USA,7346,Macy Nelson,D. Skinner,,34,DSQ,75,12,45,17,213,38
JPN,7509,M. Kabeya,Tatsuki Kabeya,,65,16,18,70,46,39,214,39
GER,7451,E. Brzoska,H. Barth,,50,31,31,DSQ,14,64,220,40
GBR,7680,J. McLaren,J. Edwards,,31,42,28,35,73,56,222,41
GBR,7654,P. Kyne,N. Theadom,,39,9,68,42,42,DNF,230,42
AUS,7694,D. Porter,J. Craig,,48,69,20,19,DNF,44,230,43
FRA,6589,M. Buffet,J. Muzellec,,73,40,21,67,35,46,239,44
GER,6364,P. Wiedemann,D. Harrer,,61,13,66,81,55,16,241,45
DEN,7704,E. Dalgard,H. Wermuth,,71,59,48,63,18,25,243,46
GER,7637,T. Jundel,H. Jess,,53,52,84,32,53,28,248,47
FRA,7362,E. Jacta,R. Massot,,68,23,37,65,43,52,250,48
GER,7327,A. Kluck,G. Schmidt,,20,62,65,13,66,60,250,49
GBR,7646,M. Elkington,R. Crates,,26,67,32,40,56,DNC,251,50
GER,7271,F. Dieckmann,M. Dieckmann,,55,30,46,75,40,50,251,51
GBR,7667,David White,T. Lawton,,45,55,39,45,44,57,258,52
SWE,7471,Bo Ferm,Frank Bach,,44,39,80,33,65,48,259,53
GER,7549,B. Preuss,R. Bertenrath,,64,49,87,37,59,26,265,54
GER,7584,Bernd Kowalzig,K. Stamerjohan,,35,DSQ,82,47,41,33,268,55
GBR,7018,J. Patterson,J. Murphy,,51,65,17,38,DNF,67,268,56
SUI,7119,Roger Oswald,Christian Wiskemann,,52,60,70,58,38,34,272,57
GER,7548,Hauke Rathjens,Frank Uhlemann,,42,57,36,71,62,49,276,58
GER,6770,Peter Heck,C. Tiedemann,,58,61,72,44,36,53,282,59
FRA,6419,C. Gachet,K. Valery,,78,45,42,68,DSQ,23,286,60
USA,7099,N. Haberland,W. Haberland,,83,15,55,73,71,42,286,61
GER,7219,Axel Lenderoth,Jo Ellerbeck,,74,50,59,60,27,62,288,62
FIN,7657,Mikko Saarela,Tom Lindström,,57,47,45,DNF,50,61,290,63
FIN,7658,H. Merikallio,O. Karsson,,76,77,53,23,DSQ,40,299,64
GBR,7543,S. Adams,A. Knight,,56,51,78,48,69,47,301,65
FRA,7695,S. Pellissier,H. Salomon,,86,DSQ,41,52,28,65,302,66
GER,7414,E. Hammer,D. Schenk!,,60,53,52,DSQ,48,63,306,67
GBR,7701,R. Trickett,S. Briddon,,66,26,83,56,52,DNC,313,68
SUI,7559,J. Vandeveld,T. Vandeveld,,62,66,85,41,DNF,30,314,69
GBR,7504,I. Andrew,G. Holden,,33,80,DNF,55,33,DNC,322,70
FRA,7648,G. de Restrepo,S. Ehrhardt,,47,56,56,72,61,DNF,322,71
GER,7299,H. Busch,P. Micke,,46,68,58,66,58,DNC,326,72
SUI,7558,J. Zuppinger,D. Brun,,54,78,60,54,51,DNC,327,73
SUI,7223,D. Fontana,J. Urs,,75,21,DSQ,59,54,DNC,330,74
USA,7604,T. Kivney,C. Barnes,,37,81,61,53,70,DNF,332,75
GER,6865,A. Hampe,S. Rison,,41,43,51,DSQ,76,DNF,332,76
GER,7691,H. Joost,U. Joost,,63,73,47,74,DNC,68,332,77
GER,7462,Dieter Cordes,P. Dieckmann,,77,82,74,49,68,58,356,78
IRL,7625,J. Cooke,D. O. Sullivan,,80,74,77,80,49,54,364,79
FRA,6989,Jacques Raguet,E. Poire,,67,DSQ,64,69,64,70,364,80
FRA,7424,Francis Doerenbecher,G. Guthmann,,79,79,49,DNF,67,66,370,81
GBR,7588,P. Fordham,G. Kingston,,81,46,81,64,75,DNC,377,82
FRA,7454,P. Boite,J. Guequen,,69,71,62,DNF,60,DNF,383,83
FRA,6427,M. Rimbert,M. Bouvier,,70,DNF,67,77,74,69,387,84
DEN,7017,S. Molbeck,Christoffersn,,84,63,63,62,DNC,DNC,393,85
