Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Brutto,Netto,Place
DEN,8828,Jørgen Bojsen-Møller,Jacob Bojsen-Møller,HS,1,1,1,1,1,1,6,,1
DEN,8656,Bo Peterson,Henrik Buhl,Faborg,3,3,2,2,2,2,14,,2
DEN,8736,Jacob Ernst,Jesper Ernst,Hellerup,7,4,5,4,3,5,28,,3
DEN,8082,Tom Bøjland,Kenneth Eriksen,Farum,4,5,8,5,5,6,33,,4
DEN,8860,Rasmus Damsgaard,Søren Overbeck,HS,DNF 16,DNF 16,4,3,7,3,49,,5
GER,8601,Jonas Christiansen,Mikkel Bardram,,3,9,7,8,8,8,43,,6
DEN,8333,Mikkel Christiansen,Mads Christiansen,Aas,8,8,6,7,6,7,42,,7
DEN,8849,Per Larsen,Henrik Andersen,Farum,5,DNF 16,DNF 16,6,4,4,51,,8
DEN,8620,Jan Saugmann,Morten Ramsbæk,HiS,2,2,3,DNC 16,DNC 16,DNC 16,55,,9
DEN,8581,Jon Andersen,Lasse Andresen,Reers,6,6,DNC 16,DNC 16,DNC 16,DNC 16,76,,10
DEN,8495,Jesper Legin Larsen,Allan Andreasen,Polytek,9,7,DNC 16,DNC 16,DNC 16,DNC 16,80,,11
SWE,8412,Simon Kindt,Fredrik Wickbom,HSS,10,12,DNC 16,DNC 16,DNC 16,DNC 16,86,,12
SWE,8146,Andreas Carlsson,Peter Tjernström,GKSS,12,11,DNC 16,DNC 16,DNC 16,DNC 16,87,,13
DEN,8019,Kim Sørensen,Jesper Hansen,KS,14,10,DNC 16,DNC 16,DNC 16,DNC 16,88,,14
DEN,8416,Gabriel Schønau Hansen,Johnny Rodholm,HSC,13,13,DNC 16,DNC 16,DNC 16,DNC 16,90,,15
