Nation,Boot,Steuermann,Vorschoter,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,,Pl.
FRA,8771,Philippe Boite,Fabrice Toupet,CVM,2,1,1,5,3,8,DNF,,1
GBR,8882,Ian Pinnell,Steven Hunt,GWSC,5,12,7,4,5,1,1,,2
SUI,8729,Florian Stauffer,Philippe Jacot,CVN,6,9,2,6,1,5,4,,3
GER,8903,Boris Herrmann,Julien Kleiner,ZSK,DSQ,3,6,2,9,4,2,,4
SUI,8543,Cedric Bart,Veli Marti,CNB,1,13,5,9,11,10,6,,5
GER,8580,Christian Kellner,Andreas Achterberg,HSC,3,5,27,3,4,3,DNC,,6
GBR,8881,Terry Scutcher,Christian Diebitsch,Shotley,8,8,21,7,2,2,DNC,,7
GER,8901,Sophie Söllner,Wolfgang Stückl,CYC,11,4,28,1,12,18,15,,8
SUI,8569,Rene Betschen,Patrick Ducommun,CNB,37,16,4,14,7,7,17,,9
GER,8531,Michael Troch,Eckart König,SGJ,10,2,24,11,14,15,DNC,,10
FRA,8895,Pierre-Jean Gallo,Regis Viateur,CNE,30,25,11,8,8,12,16,,11
GBR,8834,Russell Short,Andrew Short,Burton,26,11,13,34,15,9,10,,12
GBR,8908,Upton Brown Mark,Ian Mitchell,HISC,36,24,30,8,10,6,3,,13
GER,8751,Melanie Horstmann,Angela Stenger,HSC,12,6,20,10,27,27,20,,14
FRA,8541,Francis Doerenbecher,Aubin Doerenbecher,CNS,20,15,18,47,20,16,9,,15
FRA,8870,Christian Silvestre,Christian Vallaud,CVB,9,31,15,15,25,22,13,,16
GER,8747,Jörg Thumann,Oliver Stieglitz,TuSJ,49,17,34,12,16,13,8,,17
GBR,8835,Charles Walters,Dougal Cram,GWSC,33,21,9,28,6,11,DNC,,18
GER,8807,Franziska Unkelbach,Wolfgang Bogacki,KYC,18,14,16,19,21,23,DNF,,19
GBR,8885,Simon Lake,Ben Iliffe,P.Cambs,48,26,19,36,13,13,5,,20
GER,8693,Michael Daisenberger,Florian Lautenschläger,DTYC,7,10,3,13,23,DNC,DNC,,21
GER,8539,Hendrik Schultz,Ute Oberländer,SCLW,14,19,33,21,19,17,DNF,,22
GER,8625,Alex Cross,Falko Braun,SCR,32,18,17,26,22,DNF,11,,23
GER,8874,Jürgen Waldheim,Klaus Heeschen,PYC,28,20,32,17,DNF,19,14,,24
DEN,8826,Tom Bøjland,Helge Rasmusen,Farum,16,37,25,DNF,26,25,7,,25
FRA,8748,Serge Gubri,Gilles Carvallo,JMIAM,25,50,14,37,24,21,18,,26
GER,8518,Helen Fischer,Pia Matscheroth-Brodwurm,BYC,15,7,13,39,DNF,24,DNF,,27
FRA,8321,Bertrand Loyal,Frederic Bouillet,,22,29,12,16,17,DNF,DNF,,28
GER,8463,Frieder Achterberg,Thomas Klug,DTYC,27,40,23,20,34,35,21,,29
GER,8788,Karsten Lahrs,Peter Gerdts,HYC,17,28,40,24,28,26,DNF,,30
GER,8672,Karsten Contag,Guido von Walter,SCLW,23,35,39,35,29,33,23,,31
GER,8777,Nils Burghard,Francisco Sanguino,SCLW,4,51,36,51,18,28,DNF,,32
FRA,8695,Jean-Guy Puissant,Simon Chartier,ANPESA,21,23,8,25,DNF,DNF,DNF,,33
FRA,7849,Claude Gachet,Kleber Valery,YCG,43,30,38,27,31,32,DNF,,34
FRA,7941,Veronique Brenet,Jean-Pierre Peter,ACAL,29,22,37,22,DNF,39,DNF,,35
SUI,8614,M. Froideveaux,Valery Jacot,,31,39,26,23,37,DNF,DNF,,36
GER,8530,Alexander von Mertens,Pia Wiesbauer,StSC,35,48,44,45,33,37,22,,37
GBR,8869,Martin Wedge,Scott Allen,RBYC,40,32,29,41,DNF,20,DNF,,38
FRA,8676,Marcel Buffet,Pascal Rossingnol,CVP,13,38,46,33,DNF,34,DNF,,39
FRA,8603,Jean-Phillippe Chartier,Alain Chartier,CVDP,39,47,43,46,33,DNF,19,,40
FRA,8444,Jean-Louis Guibbal,Matthieu Guibbal,CTVP,42,41,52,48,DNF,30,12,,41
SUI,8079,Lorenz Nydegger,Martin Nydegger,SCB,34,33,42,29,DNF,29,DNF,,42
FRA,8847,Michel Boiry,Xavier Finet,CVP,24,36,50,43,36,40,DNF,,43
GER,8712,Christian Labenz,Christian Labenz,,38,34,22,30,DNF,DNF,DSQ,,44
FRA,8820,Robert Lehmann,Bernard Edel,ACAL,46,42,47,32,41,36,DNF,,45
GER,8473,Oliver Kraft,Frank Heimburger,SSCM,19,49,35,31,DNF,DNF,DNF,,46
FRA,8623,Gerard Daugey,Dominique Rouanne,SVST,50,27,41,38,38,DNF,DNF,,47
FRA,8400,Florian Faucheux,Cedric Faucheux,CST,47,2,31,44,DNF,31,DNF,,48
LUX,8534,Pierre Kiefer,Jean Paul Tousch,YC LUX,41,44,48,DNF,35,41,DNF,,49
GBR,8907,Jim Berry,David Barnes,CVSC,51,DNC,DNF,42,32,38,DNF,,50
GER,8674,Pedro Bohnenberger,Kersten Weichborn,SCIA,44,45,51,52,39,DNF,DNF,,51
GER,8327,Dirk Frank,Stefan Kempf,SCS,45,46,49,40,DNF,DNF,DNF,,52
FRA,5464,Michael Delsemme,Jean Philippe Hermieu,ST Tropez,54,43,45,49,DNF,DNF,DNF,,53
GER,8388,Peter Wolffram,Michael Matscheroth,,52,53,54,53,40,DNF,DNF,,54
