,,,,Club,Race 1,Race 2,Race 3,Race 4,Race 5,points,place
GER,,Roos Ronald,Roos Kirsten,ALLEMAGNE,1,7,2,3,5,11,1
FRA,,Blanchard Philippe,Maire Charles,A C D'ALSACE LORRAIN,5,1,1,6,13,13,2
FRA,,Jeanne Muriel,Agrapart Franck,C N HAUTE SEINE,6,10,3,2,2,13,3
FRA,,Brenet Veronique,Peter Jean-Pierre,A C D'ALSACE LORRAIN,2,5,7,7,1,15,4
FRA,,Silvestre Christian,Beltzung Julien,CVSQ,14,4,4,1,6,15,5
FRA,,Doerenbecher Francis,Wolff Philippe,C N DE SCIEZ,3,6,10,4,3,16,6
FRA,,Paquotte Jean-Marc,Beltzung Alain,A C D'ALSACE LORRAIN,4,2,8,11,4,18,7
GER,,Von Mertens Alexandre,Wiesbauer Pia,ALLEMAGNE,7,9,5,8,OCS,29,8
FRA,,Boiry Michel,Beltzung Dan,CV PARIS,11,3,9,12,8,31,9
FRA,,Lehmann Robert,Edel Bernard,A C D'ALSACE LORRAIN,13,8,11,9,7,35,10
FRA,,Pype Thomas,Noclain Jean Pierre,C V VALENCIENNES,9,11,6,10,OCS,36,11
FRA,,Gachet Claude,Valery Kleber,YC Grenoble Chara.,15,14,16,5,9,43,12
FRA,,Dupont Jean Baptiste,Finet Xavier,CV PARIS,8,13,12,13,12,45,13
FRA,,Blaison Benoit,Marquis Vincent,A S GERARDMER,10,12,14,14,11,47,14
FRA,,Richard Ruddy,Hodzic Canel,A C D'ALSACE LORRAIN,12,15,13,15,DNC,55,15
GER,,Feuerhake Jurgen,Falk Margit,ALLEMAGNE,DNC,DNC,DNC,16,10,62,16
GER,,Neugart Elmar,Bernecker Carola,ALLEMAGNE,DNF,16,15,17,DNC,66,17
