Nation,Sail Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Total,Netto,Place
DEN,9244,Jørgen Bojsen-Møller,Jacob Bojsen-Møller,Hellerup Sejlklub,2,2,1,(40)DNF,1,4,2,52,12,1
GER,8992,Lutz Stengel,Frank Feller,ROYC,4,1,2,(5),4,2,1,19,14,2
GER,9070,Stefan Köchlin,Andreas Achterberg,SVS,3,(13),4,2,3,1,7,33,20,3
GER,9185,Stefan Böhm,Gerald Roos,SCV,7,4,5,1,2,3,(8),30,22,4
FRA,9220,Philippe Boite,Marin Carnot,cvsq,1,(6),3,4,6,6,5,31,25,5
GER,9101,Timon Treichel,Morten Roos,SVWU,9,3,(13),6,8,5,3,47,34,6
GER,9127,Frederik Schaal,Felix Diesch,SMCUE,6,11,6,3,5,(12),4,47,35,7
GER,9182,Alexander Holzapfel,Finn Boeger,PSVK,8,7,(9),8,7,8,6,53,44,8
GER,9169,Tim Böger,Markus Schöner,HSC,5,12,7,(15),13,7,9,68,53,9
SWE,8962,Peter Bökmark,Martin Persson,BKSS,11,9,11,(23),10,9,14,87,64,10
DEN,9055,Fabiola Wonterghem,Michael Wonterghem,Holbæk Sejlklub,14,(22),8,13,11,11,10,89,67,11
GER,9231,Stefan Giesler,Frank Böhm,VSAW,10,5,(27),18,14,10,13,97,70,12
GER,8806,Anna Hauschild,Johannes Tellen,SCS,13,(20),10,7,16,14,12,92,72,13
GER,9234,Norbert Dasenbrook,Joseph Schütte,SKBUE,17,15,(23),10,12,13,15,105,82,14
GBR,9178,Chris Lewns,Jack Kilburn,Royal Yachting Association,19,(40)DNC,14,17,9,16,11,126,86,15
GER,9230,Martin Kittsteiner,Oliver Stieglitz,HSC,18,10,20,12,(25),17,17,119,94,16
GER,9135,Jens Biederer,Thomas Wasilewski,HSC,15,(27),17,9,17,19,18,122,95,17
GER,8849,Henrik Schade,Sebastian Wiemer,WVW,20,21,15,14,15,(25),20,130,105,18
GER,9146,Stefan Heising,Aron Tellen,BSV,(33),14,18,16,26,20,16,143,110,19
POL,9119,Mateusz Jura,Bartosz Chroł,PSK 505,24,(29),12,11,18,23,26,143,114,20
GER,9131,Jörn Wille,Martin Bergmann,MSC,16,18,(25),22,21,18,22,142,117,21
GER,9144,Jürgen Anton,Ulf Denecke,HSC,28,8,22,21,(40)DNC,40DNC,159,119,22
POL,9170,Karol Milewski,Jan Siekierzyński,YK Stal,12,24,16,24,22,22,(29),149,120,23
POL,8875,Dariusz Konopczak,Paweł Henszke,CŻ S,22,(33),19,20,20,21,23,158,125,24
GER,9224,Konrad Otto,Martin Lietz,SG SEEBURG,21,17,24,26,(40)DNC,40DNC,168,128,25
BEL,8898,Bas Van Assche,Toon Van Assche,LZF,(32),23,26,25,24,15,19,164,132,26
GER,9161,Walter Steding,Hans-Werner Steding,HSC,27,16,21,35,(40)DNC,40DNC,179,139,27
GER,9006,Andreas Porth,Michael Rehberg,VBS,23,25,(28),19,27,24,21,167,139,28
GER,8370,Arend Brugmans,Felix Graff,ZSK,26,19,(31),28,28,26,27,185,154,29
GER,8458,Olaf Oberländer,Mathias Jäkel,ASVZR,31,30,(33),30,23,28,24,199,166,30
BEL,8613,Kim Van Assche,Guy Van Assche,LZF,34,35,30,27,(40)DNC,40DNC,206,166,31
GER,8964,Iris Anton,Michael Heyder,HSC,30,36,32,29,(40)DNC,40DNC,207,167,32
GER,9030,Andreas Jungclaus,Alena Wilkens,HSC,(40)DNS,32,34,31,30,40DNF,207,167,33
AUS,9225,Earle Alexander,Lindsay Gilbert,Darling Point SS,25,34,(40)DNC,40DNC,19,27,25,210,170,34
GER,8932,Christian Henge,Katja Henge,MSC,29,26,29,(32),29,29,28,202,170,35
GER,9040,Harald König,Katja Frühwald-König,SRVL-S,35,28,36,34,(40)DNC,40DNC,213,173,36
GER,9123,Enno Wilts,Katharina Menge,CKA,(40)DNC,31,40DNF,33,40DNC,40DNC,224,184,37
POL,8906,Tomasz Polikowski,Adam Najmowicz,YK Stal Gdynia,36,37,35,(40)DNF,31,30,30,239,199,38
DEN,9243,Per Larsen,Christian Mogensen,Hellerup Sejlklub,(40)DNF,40DNC,40DNC,40DNC,40DNC,40DNC,240,200,39
