Segel,Nummer,Mannschaft,,Verein,R1,R2,R3,R4,R5,T.,N.,Nr
GER,9230,Martin Kittsteiner,Oliver Stieglitz,HSC,2.0,1.0,(5.0),1.0,2.0,11.0,6.0,1
GER,9169,Tim Böger,Markus Schöner,HSC,1.0,(3.0),1.0,2.0,3.0,10.0,7.0,2
GER,9131,Jörn Wille,Martin Bergmann,MSC,3.0,2.0,3.0,(8.0),4.0,20.0,12.0,3
GER,8686,Wolf-Dieter Jahn,John Christiansen,HSC,4.0,4.0,4.0,(10.0),6.0,28.0,18.0,4
GER,9144,Jürgen Anton,Ulf Denecke,HSC,5.0,5.0,(10.0),5.0,5.0,30.0,20.0,5
GER,8531,Anna Lienau,Martin Lietz,HSC,7.0,(9.0),8.0,4.0,7.0,35.0,26.0,6
GER,8964,Iris Anton,Max Rauner,HSC,9.0,7.0,2.0,(12.0),9.0,39.0,27.0,7
GER,8903,Steve Kwee,Alena Wilkens,HSC,6.0,(8.0),7.0,6.0,8.0,35.0,27.0,8
GER,9040,Harald König,Katja Frühwald-König,SRVL-S,8.0,6.0,9.0,7.0,(11.0),41.0,30.0,9
GER,9161,Andreas Jungclaus,Hans-Werner Steding,HSC,(14.0)DNC,14.0DNC,14.0DNC,3.0,1.0,46.0,32.0,10
GER,8433,Patrick Ziegelmüller,Katharina Menge,HSC,11.0,10.0,6.0,11.0,(12.0),50.0,38.0,11
GER,8932,Christian Henge,Nicholas Melzwig,LRV,10.0,(11.0),11.0,9.0,10.0,51.0,40.0,12
GER,8428,Christian Lempp,Marius Wolff,SCH,12.0,12.0,12.0,(13.0),13.0,62.0,49.0,13
