Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4","Race 5","Race 6","Race 7",Brutto,Netto,Place
GER,8992,"Lutz Stengel","Frank Feller",ROYC,1,2,1,1,1,"DNC 12",0,18,,1
GER,9182,"Alexander Holzapfel","Arne Wittemer",PSVK,2,3,3,5,3,1,0,17,,2
GER,9113,"Joseph Schütte","Geeske Genrich",,6,1,2,6,2,2,0,19,,3
GER,9135,"Jens Biederer","Hannes Kindermann",HSC,5,7,9,2,6,3,0,32,,4
GER,9169,"Tim Böger","Finn Böger",HSC,4,8,4,3,5,7,0,31,,5
GER,8806,"Anna Hauschild","Anja Stengel",SCS,3,5,11,4,8,8,0,39,,6
GER,9149,"Andreas Bock","Rolf Meyer",BYC,8,4,6,8,4,6,0,36,,7
GER,8928,"Anna Lienau","Martin Lietz",,7,6,7,7,9,10,0,46,,8
GER,8519,"Silvio Hilbrich","Marcus Wagner",,9,9,5,10,7,9,0,49,,9
GER,9123,"Enno Wilts","Martin Bernauer",SVBB,11,11,8,9,10,4,0,53,,10
GER,9040,"Harald König","Katja Frühwald-König",SRVL-S,10,10,10,11,11,5,0,57,,11
