Boot,Steuermann,Vorschoter,Club,Platzierungen,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points,Netto,Place
GER,8992,Lutz Stengel,Michael Krause,ROYC,1,6*,2,1,1,1,12,6,1
GER,9234,Norbert Dasenbrook,Sven Meier,KSW,2,4,1,5,3,12 OCS*,27,15,2
GER,9149,Tom Gosch,Rolf Meyer,ENSFV,5,1,3,9*,5,2,25,16,3
GER,9000,Julia Trusen,Thorsten Pösch,SVBS,3,2,8*,6,7,5,31,23,4
GER,9066,Peter Gerdts,Christian Labenz,HSC,4,5,4,12 OCS*,8,3,36,24,5
GER,9152,Anika Wollenbecker,Raik Wollenbecker,YCBG,9*,7,6,3,4,4,33,24,6
GER,8806,Anna Hauschild,Anja Stengel,SCS,8,3,9,4,2,12 DNF*,38,26,7
GER,8903,Steve Kwee,Michael Heyder,HSC,6,8,5,2,6,12 OCS*,39,27,8
GER,7848,Martin Bernauer,Elisabeth Bernauer,CNFT,11*,9,10,8,9,6,53,42,9
GER,8928,Anna Lienau,Martin Lietz,,7,12 DNC*,11,7,10,12 DNF,47,47,10
GER,8317,Christina Burger,Thorben Jordt,WSCW,10,10,7,12 DNC*,12 DNC,12 DNF,39,51,11
