Sail,Number,Team,,Club,R1,R2,R3,R4,R5,R6,R7,R8,R9,T,N,Nr
GER,9121,Jan-Philipp Hofmann,Felix Brockerhoff,DYC,3,2,1,3,1,2,2RDG,1,[38]DNS,53,15,1
GER,9185,Stefan Böhm,Gerald Roos,SCV,[12],6,5,1,2,3,1,4,2,36,24,2
GER,8992,Lutz Stengel,Frank Feller,ROYC,1,3,3,7,6,[8],2,2,1,33,25,3
GER,9182,Alexander Holzapfel,Finn Boeger,PSVK,7,5,7,2,3,1,5,7,[10],47,37,4
GER,9146,Fabiola Wonterghem,Aron Tellen,BSV,[24],4,2,4,9,6,8,5,5,67,43,5
GER,9198,Lena Stückl,Johannes Tellen,DTYC,[11],1,6,8,5,4,9,8,4,56,45,6
GER,9231,Stefan Giesler,Frank Böhm,VSAW,[18],7,15,5,4,12,7,3,13,84,66,7
GER,9133,Frieder Achterberg,Wolfgang Stückl,DTYC,5,14,8,[18],13,5,3,9,12,87,69,8
GER,9189,Hendrik Schultz,Ute Oberländer,SCLW,2,12,9,[15],11,11,12,11,14,97,82,9
GER,9149,Thomas Gosch,Rolf Meyer,ENSFR,9,13,[16],14,8,15,10,10,6,101,85,10
GER,9090,Christian Kellner,Andreas Achterberg,HSC,16,22,[38]OCS,16,7,10,6,6,3,124,86,11
GER,9135,Jens Biederer,Hendrik Annighöfer,HSC,4,8,13,12,19,7,13,[38]DNF,11,125,87,12
GER,9101,Ronald Roos,Morten Roos,SVWU,17,11,14,9,10,9,19,[38]UFD,7,134,96,13
GER,9197,Nicola Birkner,Angela Stenger,VSAW,14,9,10,6,16,16,15,[20],15,121,101,14
BEL,8898,Bas Van Assche,Toon Van Assche,SRVL-S,15,[20],20,10,12,17,11,14,8,127,107,15
GER,9169,Tim Böger,Sven Meier,HSC,25,10,4,[38]UFD,14,18,20,12,9,150,112,16
GER,9152,Anika Wollenbecker,Hermann Wollenbecker,YCBTF,13,[23],12,11,17,13,14,18,18,139,116,17
GER,9131,Jörn Wille,Martin Bergmann,MSC,[38]DNC,15,11,13,15,19,16,13,16,156,118,18
GER,9000,Julia Pösch,Thorsten Pösch,SCSZ,6,17,19,21,21,[24],21,19,22,170,146,19
GER,8458,Olaf Oberländer,Gela Feller,ROYC,[26],19,21,20,23,14,17,17,19,176,150,20
GER,8849,Henrik Schade,Hendrik Von Bodungen,WVW,[38]DNC,28,24,17,26,20,18,16,17,204,166,21
GER,9144,Jürgen Anton,Ulf Denecke,HSC,20,21,17,[38]DNC,18,27,38DNF,15,20,214,176,22
GER,9123,Martin Bernauer,Enno Wilts,CKA,21,[26],23,25,25,22,24,21,24,211,185,23
GER,8928,Anna Lienau,Anja Stengel,HSC,22,24,[29],27,20,28,22,23,21,216,187,24
SUI,9060,Catherine Houriet,Gil Donzé,CRG,8,25,27,28,28,26,[38]DNS,22,25,227,189,25
POL,8747,Anna Jabłońska,Andrzej Zdrojek,Polskie Stowarzyszenie Klasy 505,29,29,25,19,22,23,[38]DNF,25,23,233,195,26
GER,9161,Walter Steding,Hans-Werner Steding,HSC,23,18,18,22,[38]DNF,25,38DNF,38DNS,38DNS,258,220,27
GER,8964,Iris Anton,Katharina Menge,HSC,32,30,31,30,27,[38]DNC,23,24,26,261,223,28
GER,9224,Konrad Otto,Martin Lietz,SG SEEBURG,19,16,26,24,[38]DNF,29,38DNF,38DNS,38DNS,266,228,29
GER,8519,Silvio Hilbrich,Marcus Wagner,YSC-SS,10,[38]DNS,28,38UFD,31,38DNC,38DNS,38DNF,27,286,248,30
GER,9230,Andreas Jungclaus,Oliver Stieglitz,HSC,31,[38]DNC,22,23,24,38DNF,38DNS,38DNS,38DNS,290,252,31
GER,8901,Andre Tirre,Frank Wille,ZSK,[38]DNF,32,30,29,29,21,38DNF,38DNS,38DNS,293,255,32
GER,8932,Christian Henge,Katja Henge,MSC,[38]DNF,27,32,26,30,38DNF,38DNS,38DNF,38DNS,305,267,33
GER,7848,Axel Dierich,Felix Dierich,MYCVD,30,33,[38]DNF,38DNC,38DNF,38DNF,38DNF,38DNF,28TLE,319,281,34
GER,9040,Harald König,Katja Frühwald-König,SRVL-S,27,31,[38]DNS,38DNC,38DNF,38DNF,38DNS,38DNS,38DNS,324,286,35
GER,9021,Robert Feller,Hendrik Schürkötter,SCSI,28,[38]DNS,38DNS,31,38DNF,38DNF,38DNF,38DNF,38DNS,325,287,36
GER,8370,Arend Brugmans,Felix Graff,ZSK,[38]DNC,38DNC,38DNC,38DNC,38DNC,38DNC,38DNC,38DNC,38DNC,342,304,37
