Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4","Race 5",Brutto,Netto,Place
GER,9189,"Hendrik Schultz","Ute Oberländer",SCLW,1,2,1,3,1,8,,1
GER,9090,"Christian Kellner","Andreas Achterberg",HSC,2,1,2,2,2,9,,2
GER,9122,"Jan Borbet","Kilian Northoff",DUYC,5,3,3,1,"OCS 17",29,,3
GER,8990,"Ralf Breitenfeldt","Thorsten Koch",HSC,4,5,4,5,4,22,,4
GER,9133,"Frieder Achterberg","Thoralf Greger",DTYC,9,6,5,4,3,27,,5
GER,9100,"Nathalie Friedrich","Claudius Zeiler",SCLW,3,4,6,6,"DNF 17",36,,6
GER,8672,"Dirk Hütten","Guido Von Walter",,6,9,7,7,8,37,,7
GER,9078,"Dieter Brehm","Jan Fischbach",,8,8,9,8,5,38,,8
GER,8998,"Ingo Schneider","Sebastian Hoering",SCLW,10,7,13,9,9,48,,9
SUI,9123,"Martin Leitner","Enno Wilts",,15,10,8,12,10,55,,10
GER,9046,"Andreas Seiffert","Paula Web",,13,11,11,13,11,59,,11
GER,8518,"Achim Funk","Jochen Heydolph",SCLW,11,"DNC 17","DNC 17",11,6,62,,12
GER,8730,"Paul Bauer","Peter Zimmer",,14,13,12,14,12,65,,13
GER,8590,"Tillmann Baier","Eckhard Busch",,12,12,10,"DNC 17","DNC 17",68,,14
GER,8579,"Peter Wackerbauer","Sibylle Hessen",RSB,"DNF 17","DNC 17","DNC 17",10,7,68,,15
GER,8658,"Christina Höll","Alexander Wilhelm",HSC,7,"DNC 17","DNC 17","DNC 17","DNC 17",75,,16
