Boot,Steuermann,Vorschoter,Club,Platzierungen,Punkte,,,,,,Pl.,
GER,8849,Henrik Schade,Sebastian Wiemer,WVW,3*,3,1,1,1,9,6,1
BEL,8613,Kim Van Assche,Lien Van Assche,,5*,2,2,2,2,13,8,2
GER,9149,Bernd Rasenack,Rolf Meyer,ZSK,1,1,4,3,DNF*,20,9,3
GER,9230,Martin Kittsteiner,Oliver Stieglitz,HSC,4,4,3,5*,3,19,14,4
GER,9066,Peter Gerdts,Christian Labenz,HSC,2,DNF*,DNF,4,DNF,39,28,5
GER,8370,Ole Hinrichs,Felix Graff,,DNF*,DNC,DNC,7,4,44,33,6
GER,9144,Jürgen Anton,Ulf Denecke,HSC,DNF*,DNC,DNC,6,DNC,50,39,7
GER,8317,Christina Burger,Michael Köritz,WSCW,DNC*,DNC,DNC,DNC,DNC,55,44,8
GER,8964,Iris Anton,Katharina Menge,HSC,DNC*,DNC,DNC,DNF,DNC,55,44,9
GER,9040,Harald König,Katja Frühwald,SHVL,DNC*,DNC,DNC,DNF,DNC,55,44,10
