Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4","Race 5","Race 6",Brutto,Netto,Place
GER,9198,"Lena Stückl","Johannes Tellen",DTYC,1,1,1,1,3,1,8,,1
GER,9090,"Christian Kellner","Andreas Achterberg",HSC,2,3,2,3,1,3,14,,2
GER,9133,"Frieder Achterberg","Wolfgang Stückl",DTYC,3,2,4,4,2,2,17,,3
GER,9197,"Nicola Birkner","Angela Stenger",SVaW,7,4,3,2,4,4,24,,4
GER,8672,"Karsten Contag","Guido Von Walter",SCLW,5,7,7,6,5,5,35,,5
GER,8990,"Ralf Breitenfeldt","Alexander Wilhelm",HSC,8,6,6,5,6,6,37,,6
GER,9189,"Hendrik Schultz","Ute Oberländer",SCLW,4,5,5,"DNC 12","DNC 12","DNC 12",50,,7
GER,9078,"Dieter Brehm","Andreas Seiffert",,6,9,8,"DNC 12","DNC 12","DNC 12",59,,8
GER,8691,"Felix Bernhardt","André Müller",,10,8,"DNC 12","DNC 12","DNC 12","DNC 12",66,,9
GER,8590,"Tillmann Baier","Eckhard Busch",,9,"DNF 12","DNC 12","DNC 12","DNC 12","DNC 12",69,,10
GER,8495,"Achim Funk","Jochen Heydolph",SCLW,"DNC 12","DNC 12","DNC 12","DNC 12","DNC 12","DNC 12",72,,11
