Nation,Sail No,Helmsman,Crew,Cub,Race1,Race2,Race3,Race4,Race5,Race6,with discard,Position
GBR,7327,Peter Colclough,Harold Barnes,,3,3,0.75,2,8,0.75,9.5,1
GBR,7004,Eddie Owen,Phil Brown,,2,4,86,4,0.75,2,12.75,2
GBR,7268,P. White,,,0.75,2,2,3,10,6,13.75,3
GBR,7275,Phil Milanes,,,5,10,3,7,11,4,29,4
GBR,7323,J. Loveday,,,12,89,4,0.75,6,8,30.75,5
GBR,7182,N. Willmott,,,13,12,7,6,2,10,37,6
GBR,7106,D. Clark,,,14,11,10,5,4,12,42,7
GBR,7110,J. Patterson,,,7,8,9,19,29,17,60,8=
GBR,7307,Mike Lingwood,,,18,6,5,26,5,28,60,8=
GBR,7170,M. Hattemore,,,50,15,11,10,21,3,60,8=
GBR,6782,R. Trickett,,,32,0.75,14,12,7,27,6034,11
GBR,7277,D. White,,,4,28,8,23,20,7,62,12
GBR,6958,M. Platts,,,20,9,13,14,17,21,73,13
GBR,6977,C. Jarvis,,,10,32,17,9,26,14,76,14
GBR,7169,J. Saltonstall,,,30,20,12,13,13,19,77,15
GBR,7301,D. Pitman,,,15,16,19,8,23,71,81,16
GBR,6851,J. Hereward,,,31,5,28,17,14,18,82,17
GBR,7272,D. Revill,,,16,14,46,21,16,16,83,18
GBR,6878,L. Fryer,,,44,36,26,11,18,5,96,19
GBR,6844,Ricky Willows,,,33,19,86,36,9,9,106,20
GBR,7313,Michael Lawton,,,6,89,55,15,3,31,110,21
GBR,6879,A. Gilmour,,,22,42,38,22,12,26,120,22
GBR,7368,G. Thomas,,,49,29,15,30,32,22,128,23
GBR,7080,M. Arnold,,,23,39,6,39,22,71,129,24
GBR,6688,D. Treloar,,,90,23,27,31,15,36,132,25
GBR,7325,D. Chisolm,,,29,26,16,33,66,34,138,26
GBR,7300,Ben Tucker,,,56,35,31,25,19,30,140,27
GBR,7310,M. Wincer,,,11,43,33,38,66,20,145,28
GBR,7051,J. Hope,,,21,30,30,34,34,43,149,29
GBR,6960,Tim Marlow,,,37,41,18,29,25,42,150,30
GBR,7163,R. Whittle,,,51,24,24,28,38,39,153,31
GBR,7141,S. Lambourne,,,48,7,34,78,27=,38,154,32
GBR,7167,K. Brackwell,,,42,38,35,42,66,11,168,33 =
GBR,7315,D. Wansbrough,,,90,31,58,20,27=,32,168,33=
GBR,7238,P. Fordham,,,26,44,43,16,45,40,169,35
GBR,6889,S. France,,,36,22,20,27,66,71,171,36
GBR,7267,I. Stowe,,,34,27,66,37,39,50,187,37
GBR,7265,R. Campbell,,,19,55,52,47,33,37,188,38
GBR,7317,R. Lord,,,9,13,86,32,66,71,191,39
GBR,7312,S. Tew,,,17,40,23,78,42,71,193,40
GBR,7183,D. Wood,,,25,98,56,40,36,46,203,41
GBR,7158,P. Stratton,,,99,37,22,24,58,64,205,42
GBR,6785,B. Arrowcliffe,,,43,34,37,41,51,71,206,43
IRL,7306,,,,70,59,61,18,66,13,217,44
GBR,6801,M. Pickering,,,62,18,39,78,66,33,218,45
BEL,7146,Marc Stockbroek,,,41,45,86,45,66,24,221,46
GBR,6843,C. Prince,,,35,47,86,78,40,23,223,47
GBR,6946,C. Popple,,,90,46,51,58,24,45,224,48
GBR,7345,A. Fountain,,,99,33,21,35,66,71,226,49
GBR,7309,Stephen Northeast,,,45,64,47,44,43,51,230,50
GBR,7378,Vernon Ralston,,,39,73,79,46,31,44,233,51
GBR,7086,P. Hope,,,57,69,62,52,30,48,249,52
GBR,7216,Joan Ingram,,,58,61,67,54,52,25,250,53
GBR,6847,P. Fisher,,,38,89,45,73,41,55,252,54
GBR,6637,S. Evans,,,40,68,40,78,37,71,256,55
GBR,7217,R. Deane,,,54,49,86,78,66,15,262,56
GBR,6155,J. Ready,,,66,48,49,50,66,52,265,57 =
GBR,6514,R. Hunt,,,72,54,64,56,44,47,265,57=
GBR,6687,J. Barry,,,61,51,36,100,66,53,267,59
GBR,6880,J. Hitchin,,,75,70,95,49,35,41,270,60
GBR,7240,,,,46,62,71,55,47,61,271,61
GBR,7239,G. Dando,,,53,63,42,63,57,58,273,62
GBR,6959,W. Ingram,,,69,17,86,65,53,70,274,63
GBR,7303,,,,90,58,50,72,66,29,275,64
GBR,6692,T. Carr,,,65,56,32,64,61,71,278,65
GBR,6857,R. Sutcliffe,,,24,89,72,53,66,66,281,66
GBR,7161,R. Rowan,,,64,66,41,66,50,100,287,67
GBR,6849,,,,99,60,48,59,56,59,282,68
GBR,5995,J. Mcleman,,,81,65,68,67,55,35,290,69
GBR,6595,I. Andrew,,,55,77,53,48,66,71,293,70
