,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,,Platz
DEN,9023,Tom Bøjland,Anders Friis,Farum,1,1,1,1,4,,1
ITA,8916,Enrico Ciferri,Gabriele Natatli,,2,4,5,5,2,,2
GER,8777,Jens Olbrysch,Francisco Sanguino,HSC,3,2,6,6,7,,3
GER,8990,Frieder Achterberg,Wolfgang Stückl,DTYC,DNC,DNC,2,3,1,,4
GER,8849,Moritz Bohnenberger,Arne Lanatowitz,DTYC,5,3,8,7,11,,5
GER,8807,Maximilian Weiß,Jonas Vogt,DTYC,DNC,DNC,3,4,3,,6
GER,9011,Michael Daisenberger,Tobi Bolduan,DTYC,DNC,DNC,4,2,5,,7
FRA,8773,Gael Conversy,Philippe Markt,,7,7,7,9,8,,8
FRA,9012,Arnaud Dini,Melissa Ferrois,,4,5,11,11,10,,9
ITA,8671,Giacinto Piacquadio,Andrea Messina,,6,6,12,8,12,,10
ITA,8743,Marco Giraldi,Giuseppe Viaroni,UVM,DSQ,8,10,10,6,,11
AUT,8921,Martin Schmidt,Michael Mayrhofer,ASKÖ,9,9,9,12,9,,12
ITA,8944,Manzi,Alfredo Annese,,8,10,13,DNF,DNC,,13
GER,8962,Pia Matscheroth-Brodwurm,Sebastian Hoering,RCO,10,11,14,14,DNC,,14
DEN,9025,Anna Garver,Mark Pedersen,,DSQ,DNC,15,13,13,,15
