Nation,Saill No.,Helm ,Crew ,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,,,Place 
GBR,8552,Mark Upton-Brown,Ian Mitchell,,1,3,2,2,3,3,3,,,1
DEN,8656,Jörgen Schoenherr,Jacob Bojsen-Moller,,2,DSQ,1,7,2,4,1,,,2
GER,8649,Ronald Roos,Gerd Linnemann,SVWu,4,5,4,12,8,5,4,,,3
GER,8663,Ulf Pleßmann,Sven Kurka,SVST,7,DSQ,3,5,7,6,5,,,4
GER,8590,Stefan Köchlin,Ulrich Meyer,SKF,12,1,5,3,5,25,8,,,5
GER,8623,Stefan Böhm,Gerald Roos,SCV,3,RET,DNF,1,1,1,2,,,6
GER,8656,Roger Rachuba,André Müller,SCSt,13,8,15,6,6,7,13,,,7
GER,8505,Adalbert Kluck,Gerhard Schmidt,TSVS,10,7,11,15,9,8,10,,,8
GER,8633,Jens Hartwig,Wolfi Stückl,PYC,18,4,7,16,14,10,11,,,9
GBR,8592,Paul Lovesy,Andy Williams,,11,DSQ,12,30,4,2,6,,,10
GER,8652,Sebastian Dörr,Andreas Achterberg,HSC,8,DSQ,9,20,11,15,7,,,11
USA,7200,Alexander Meller,Jens Wilke,,9,19,18,11,13,9,DNF,,,12
GER,8665,Nicolai Völckner,Lars Dehne,SVHB,17,12,17,9,15,12,12,,,13
SUI,8426,Marcel Pluss,Yvo Durr,,5,DSQ,DNF,8,12,11,9,,,14
SUI,8486,Simone Zund,Michel Rotach,,15,14,34,13,17,14,15,,,15
SUI,8441,Urs Oldani,Erich Fischlin,,16,DSQ,10,4,18,28,20,,,16
GER,8642,Stefan Schollmayer,Francesco Sanguino,SCMSP,23,13,8,21,16,16,DNF,,,17
SUI,8459,Caroline Stolz,Filippe Jacot,,6,2,6,10,DNF,DNF,DNF,,,18
GER,8671,Markus Mühlbauer,Angela Stenger,DTYC,19,6,16,22,21,17,23,,,19
GER,8392,Martin Seikel,Norbert Becker,YCRM,21,DSQ,14,27,10,13,19,,,20
GER,8567,Jörg Detmold,Holger Neuhaus,SCH,20,9,25,24,20,20,16,,,21
GER,8562,Wolfgang Seifert,Christian Voggeser,SGR,26,15,20,19,22,21,26,,,22
GER,8470,Norbert Dasenbrock,Sven Meier,KSV,14,DSQ,19,17,19,19,DNF,,,23
GER,8607,Bernd Kowalzig,Ulrich Ellerbeck,SCB,22,16,32,26,28,23,14,,,24
GER,8472,Kai Löblein,Roland Wiedemann,DTYC,27,18,28,23,24,22,21,,,25
GER,8519,Robert Wisolek,Alexander Steger,SVM,25,11,24,14,DNF,DNF,DNF,,,26
SUI,8345,Dominik Haitz,Luc Schultheiss,,24,17,22,18,DNF,DNF,DNF,,,27
GBR,8510,Martin Wedge,Russfu Gordon,,DNF,DSQ,21,OCS,25,18,17,,,28
GER,8413,Martin Eckel,Thoralf Grager,HSC,29,19,27,29,29,RET,DNF,,,29
GER,8691,Günther Böckle,Frank Heimburger,SSCM,DNF,DNF,30,28,27,26,22,,,30
GER,7930,Christoph Hessel,Claudius Zeiler,YCV,DNF,DNC,23,32,26,29,25,,,31
DEN,8581,Jon Andersen,Lassen Abdreasen,,28,DNF,29,25,DNF,DNF,18,,,32
GER,8475,Göran Berggren,Andreas Jakob,SCLW,31,DSQ,31,31,23,24,DNF,,,33
SUI,8003,Christian Mesli,Alex Wyss,,30,DSQ,26,33,DNF,27,24,,,34
GER,8598,Klaus Riedl,Walter Giesing,MBSC,32,DSQ,33,34,DNF,RET,DNF,,,36
