Nation,Sail Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Race 10,Race 11,T,N,Place
GER,9230,Wolfgang Hunger,Holger Jess,PYC,2,3,2,1,1,3,2,7,2,2,(28 DNC),53,25,1
GER,9185,Stefan Böhm,Gerald Roos,SCV,3,1,5,3,2,6,10,(19),5,5,1,60,41,2
DEN,9181,Jørgen Bojsen-Møller,Michael Wonterghem,Hellerup Sejlklub,7,7,6,7,(28 OCS),4,1,3,1,1,8,73,45,3
GER,8929,Kai Bertallot,Moritz Klingenberg,KYC,1,2,1,5,5,5,12,1,9,7,(28 DNF),76,48,4
GER,9101,Timon Treichel,Morten Roos,DYC,(18),9,4,10,6,9,9,4,8,8,3,88,70,5
GER,9149,Leonie Meyer,Rolf Meyer,NRV,5,(15),8,8,10,2,6,9,3,10,13,89,74,6
GER,9169,Tim Böger,Markus Schöner,HSC,8,6,11,4,7,12,4,6,11,(17),7,93,76,7
GER,9127,Hans Heinrich Rix,Steffen Achenbach,TSVS,11,11,7,(14),4,11,11,8,7,9,4,97,83,8
GER,9121,Jan-Philipp Hofmann,Felix Brockerhoff,DYC,6,5,3,2,(28 OCS),1,7,13,28 DNF,19,2,114,86,9
GER,9231,Stefan Giesler,Frank Böhm,VSAW,12,8,10,9,14,(17),13,17,6,4,5,115,98,10
GER,9070,Stefan Köchlin,Andreas Achterberg,SVS,9,(28 DNC),28 DNC,11,3,7,5,11,4,3,28 RET,137,109,11
GER,9113,Joseph Schütte,Finn Böger,KYC,17,13,14,(18),9,8,16,15,14,6,6,136,118,12
DEN,9187,Jan Saugmann,Christian Limbrecht Mogensen,Hellerup,4,10,(28 DNC),15,8,10,3,5,10,28 DNC,28 DNC,149,121,13
GER,9182,Alexander Holzapfel,Michael Schöler,PSVK,10,4,9,12,(28 OCS),14,24,10,21,12,10,154,126,14
GER,8730,Henrik Schade,Sebastian Wiemer,WVW,15,14,12,13,12,13,(22),14,12,13,9,149,127,15
SWE,8962,Peter Bökmark,Martin Persson,BKSS,14,18,17,6,13,15,14,12,16,14,(28 RET),167,139,16
GER,8915,Davina Schlesiger,Marvin Schlesiger,MSC,(22),12,15,21,20,18,21,16,17,11,12,185,163,17
GER,9131,Jörn Wille,Martin Bergmann,MSC,(24),21,21,23,15,20,8,22,18,15,11,198,174,18
GER,9152,Anika Wollenbecker,Raik Wollenbecker,YCBTF,(28 DNC),16,16,16,11,19,19,20,15,28 DNC,28 DNC,216,188,19
GER,8958,Nicholas Melzwig,Andrew Moakes,LRV,16,17,18,25,16,23,20,18,20,18,(28 DNS),219,191,20
GER,9195,Dirk Penno,Patrik Treichel,DTYC,13,23,20,20,19,26,(28 RET),26,16 STP,20,14,225,197,21
GER,9135,Jens Biederer,Axel Priegann,HSC,19,(28 DNC),28 DNC,17,28 DNC,21,18,2,22,28 DNC,28 DNC,239,211,22
DEN,9128,Henrik Buhl,Poul Aunsholm,Hellerup Sejlklub,23,20,19,27 STP,18,24,23,24,19,16,(28 DNC),241,213,23
GER,8940,Martin Kittsteiner,Oliver Stieglitz,HSC,20,22,13,19,17,16,(28 DNC),28 DNC,28 DNC,28 DNC,28 DNC,247,219,24
GER,8806,Anna Hauschild,Katharina Menge,SCS,21,19,(28 DNC),22,28 DNC,22,15,23,25,28 DNC,28 DNC,259,231,25
GER,8932,Christian Henge,Katja Henge,WEISE,(28 DNC),28 DNC,28 DNC,28 STP,21,25,17,21,24,28 DNC,28 RET,276,248,26
GER,9148,Jan Stremlow,Christian Sonntag,RSVM,(28 DNC),28 DNC,28 DNC,27,28 DNF,28 DNC,25,25,23,28 DNC,28 DNC,296,268,27
