Sail,Number,Team,Club,T,R1,R2,R3,R4,R5,,N,Nr
GER,9199,Micki Daisenberger,Jonas Nissen,DTYC,6,2,1,-3,2,1,9,1
GER,9198,Julian Stückl,Johannes Tellen,DTYC,8,-4,2,1,3,2,12,2
GER,9197,Nicola Birkner,Angela Stenger,VSAW,9,1,5,2,1,-7,16,3
GER,9189,Hendrik Schultz,Ute Oberländer,SCLW,15,5,3,4,-7,3,22,4
GER,9133,Frieder Achterberg,Wolfgang Stückl,DTYC,21,3,-7,6,6,6,28,5
GER,9195,Dirk Penno,Felix Brockerhoff,DTYC,22,-8,8,5,5,4,30,6
GER,8580,Lena Stückl,Jakob Achterberg,DTYC,23,7,4,(17.0)DNC,4,8,40,7
GER,189,Karsten Contag,Thorsten Koch,SCLW,24,6,6,7,-8,5,32,8
GER,8518,Achim Funk,Jochen Heydolph,SCLW,37,9,11,8,9,(17.0)DNF,54,9
GER,8672,Dirk Hütten,Guido Von Walter,SGR,38,-10,9,10,10,9,48,10
GER,8691,Harald König,Katja Frühwald-König,SRVL-S,44,-12,10,11,12,11,56,11
GER,8998,Ingo Schneider,Sebastian Hoering,SCLW,46,13,-14,12,11,10,60,12
GER,7921,Tillmann Baier,Eckhard Busch,"MRSV""BAYERN""",48,14,12,9,13,(17.0)DNF,65,13
GER,8470,Jarg Temme,Marcel Pietsch-Khalili,SLRV,58,11,13,(17.0)DNF,17.0DNC,17.0DNC,75,14
AUT,8783,Leopold Berner,Julian Jöbstl,UYCT,66,15,(17.0)DNC,17.0DNC,17.0DNC,17.0DNC,83,15
GER,899,Norbert Weitkämper,Klaus Michael Probst,TSVH,68,(17.0)DNC,17.0DNC,17.0DNC,17.0DNC,17.0DNC,85,16
