Nation,Boot,Steuermann,Vorschoter,Club,Platzierungen,,Pl.
GER,8992,Lutz Stengel,Frank Feller,ROYC,1,2,1,1,DNF,,1
GER,9182,Alexander Holzapfel,Arne Wittemer,PSVK,4,3,3,2,1,,2
GER,9169,Tim Böger,Finn Böger,HSC,3,1,5,3,5,,3
GER,9149,Andreas Bock,Rolf Meyer,BYC,2,6,2,11,4,,4
GER,9152,Anika Wollenbecker,Raik Wollenbecker,YCBG,5,4,4,6,6,,5
GER,9054,Wilhelm Wollenbecker,Hermann Wollenbecker,YB,7,7,7,4,2,,6
GER,8806,Anna Hauschild,Anja Stengel,SCS,8,9,9,5,3,,7
GER,9006,Welf Rehberg,Michael Rehberg,VBS,6,8,8,7,7,,8
GER,9000,Julia Trusen,Thorsten Pösch,SVBS,9,5,10,10,DNC,,9
GER,8692,Georg Graw,Bernardo Low-Beer,,DNC,DNC,6,9,9,,10
GER,7848,Axel Dierich,Martin Meyerhoff,,13,11,11,15,8,,11
GER,9121,Anna Lienau,Benjamin Seibt,,10,10,12,12,11,,12
GER,8533,Roger Bussenius,Robert Bussenius,SCOH,12,13,DNC,14,12,,13
GER,8317,Christina Burger,Andreas Porth,WSCW,DNC,DNC,DNC,8,10,,14
GER,8691,Harald König,Peter Zimmer,SHVL,DNF,12,DNC,13,13,,15
GER,9131,Jörn Wille,Hanna Wille,MSC,11,DNC,DNC,DNC,DNC,,16
GER,9224,Konrad Otto,Martin Lietz,SGS,DNC,DNC,DNC,DNC,DNC,,17
