Nation,Boat No,Helm,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Points,Place
USA,8266,Howard Hamlin,Peter Alarie,,1,1,4,1,1,8,1
USA,,Douglas Hagan,Stuart Park,,4,2,1,5,4,16,2
USA,7873,Nick Adamson,Alan Norman,,2,3,3,4,6,18,3
USA,,Mike Martin,Jeff Nelson/Steve Bourdow,,5,7,2,2,2,18,3
USA,7771,Andy Beeckman,Ben Benjamin,,3,4,9,3,3,22,5
USA,,Larry Tuttle,Jay Kuncl,,6,5,6,6,8,31,6
USA,7875,Jeff Miller,Paul Allen,,7,8,5,7,5,32,7
USA,8024,David Chatham,,,9,6,7,9,9,40,8
USA,,Evert Meyer,Chris Hanke,,10,10,8,8,7,43,9
USA,,Aaron Ross,Greg Sorrells,,8,9,10,10,11,48,10
USA,,Paul Tara,,,11,11,11,11,11,55,11
