Nation,Boat No,Helm,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Points,Place
USA,8266,Hamlin,Alarie,,1,3,2,2,3,11,1
USA,8680,Edwards,Shelton,,2,2,4,3,2,13,2
USA,8714,Martin,Bourdow,,3,9,1,1,1,15,3
USA,8681,Brown,Fry,,8,5,5,5,4,27,4
USA,7875,Miller,Allen,,5,6,7,6,6,30,5
USA,7201,Thompson,Zinn,,4,7,3,4,16,34,6
USA,7069,Whitmarsh,Byron,,9,10,15,9,7,50,7
USA,8017,Poore,Park,,16,16,6,7,5,50,8
USA,8742,Berkowitz,Andy Mercer,,7,1,11,16,16,51,9
USA,7096,Largay,Sanders,,14,14,9,8,8,53,10
USA,7771,Beeckman,Benjamin,,6,8,8,16,16,54,11
USA,6991,Marino,?,,11,4,12,16,16,59,12
USA,8593,Meyer,Hanke,,16,16,10,16,9,67,13
USA,8554,Hagan,Woos,,10,12,16,16,16,70,14
USA,7877,Steve Anderes,?,,12,11,16,16,16,71,15
USA,8732,Marini,Snyder,,15,15,16,11,16,73,16
USA,6983,PW Willis,Wendy Herzberg,,16,16,13,16,16,77,17
