Naiton,Bow#,Skipper,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Boat Name,Total,Place
USA,7771,Andy Beeckman,Graham Schelter,ABYC,1,1,2,2,5,3,2,No Name,11,1
USA,8714,Mike Martin,,NHYC,4,2,1,4,4,1,13 RAF,Black Boat,16,2
CAN,8681,Robin Brown,,KYC,5,5,5,3,2,2,1,Mystery Man,18,3
USA,8680,Dirk Edwards,,SFrYC,2,4,4,1,3,4,4,Dirk Diggler,18.1,4
USA,8266,Howard Hamlin,Don Smith,NHYC,3,3,3,5,1,5,3,Pink,18.2,5
USA,7773,Charlie Bohkather,Jeff Nelson,NHYC,6,6,6,7,6,7,8,No Name,38,6
CAN,6992,Bailey White,John Fracisco,CYC,8,9,9,8,8,6,5,No Name,44,7
USA,7156,Aaron Ross,Greg Sorrells,TYC,7,8,8,12,7,8,6,Money Shot,44.1,8
USA,8593,Evert Meyer,Chris Hanke,SFrYC,9,7,7,6,9,11,9,No Name,47,9
USA,7886,Dan Strellis,,None,10,10,10,9,10,9,7,Fasterin Fog,55,10
USA,8084,Fanny Bessec,,RYC,11,11,11,11,13 DNF,10,10,No Name,64,11
USA,6227,Grant Murray,,None,12,12,12,10,11,12,11,No Name,68,12
