Naton,Sail No.,Helm,Crew,,R1,R2,R3,R4,R5,R6,R7,R8,Total,Place
USA,8083,Neal Fowler,Dave Dyson,,1,1,2,4,8*,2,2,1,13,1
CAN,8264,Jeff Boyd,Martin ten Hove,,2,3,1,5*,1,4,4,3,18,2
USA,8722,Macy Nelson,Mike Welch,,3,2,6*,1,2,3,3,5,19,3
USA,8627,Tim Collins,Bill Smith,,8*,6,5,8,3,1,1,2,26,4
USA,8194,Tom Kivney,Franny Charles,,7*,7,3,2,4,5,5,4,30,5
CAN,8233,Franc Bertrand,Alain Molimard,,6,4,8,10*,9,7,6,6,46,6
USA,8013,Dave Smith,Rick Thompson,,13*,5,4,9,10,8,7,8,51,7
USA,7604,Chad Atkins,Chuck Norris,,11*,10,7,3,6,10,9,9,54,8
USA,7068,Ted Ferrarone,JB Ferraone,,9,8,9,11*,7,6,8,7,54,9
CAN,8698,Ian Torrie,Steve Yates,,4,9,11,6,5,9,12*,12,56,10
USA,8438,Jon Singsen,Rob Putnam,,10,12*,10,7,11,11,10,10,69,11
USA,6311,Chris Pastore,Jared Kelly,,12,13*,12,12,12,12,12,12,84,12
