USA,boat #,driver,crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,total,Final
USA,8643,Barney Harris,Jesse Falsone,,2,1,4,1,1,3,12,1
USA,8012,Henry Amthor,Dough Amthor,,3,2,1,3,2,2,13,2
USA,8722,Macy Nelson,Mike Welch,,1,5,5,2,3,1,17,3
USA,8085,Rene de la Rie,Allan Freedman,,4,4,2,4,5,6,25,4
USA,8734,Ali Meller,Pascal Buckley,,5,3,3,5,4,5,25,5
USA,8735,Dustin Romey,Todd Lochner,,6,6,6,6,6,4,34,6
USA,7876,Steve Leiberman,Mike Albert,,7,7,7,7,DNF,7,44,7
USA,7879,Clayton James,Myles Wilson,,DNS,8,DNF,DNS,DNS,DNS,53,8
