Naiton,Sail/Bow  ,Skipper  ,,,1,2,3,4,5,6,7,8,9,"Total
Points  ",Pos
USA,8012,Henry Amthor,,,2,1,1,1,6/DNC  ,1,1,6/DNC  ,6/DNC  ,25,1
USA,8734,Alexander Meller,,,1,2,3,3,6/DNC  ,2,3,6/DNC  ,6/DNC  ,32,2
USA,801*,Dustin Romey,,,4,4,4,4,6/DNC  ,3,2,6/DNC  ,6/DNC  ,39,3
USA,8722,Macy Nelson,,,3,3,2,2,6/DNC  ,6/DNC  ,6/DNC  ,6/DNC  ,6/DNC  ,40,4
USA,7093,Fred Liesegang,,,5,5,5,5,6/DNC  ,4,6/DNC  ,6/DNC  ,6/DNC  ,48,5
