USA,Sail/Bow  ,Skipper  ,,,1,2,3,4,"Total
Points  ",Pos
USA,8734,Ali Meller,Randy Bruns,,1,5/DNC  ,5/DNC  ,5/DNC  ,16,1
USA,8263,Mike Albert,Les Crane,,2,5/DNC  ,5/DNC  ,5/DNC  ,17,2
USA,7346,John Hauser,Suki Sukiban,,3,5/DNC  ,5/DNC  ,5/DNC  ,18,3
USA,7876,Steve Lieberman,Josh Lieberman,,4,5/DNC  ,5/DNC  ,5/DNC  ,19,4
