,,Crew,Driver,,Race 1,Race 2,Race 3,Race 4,Race 5,total,Place
USA,8714,Steve Bourdow,Mike Martin,,1,1,4,1,1,8,1
USA,7771,Ben Benjamin,Andy Beeckman,,2,2,1,3,3,11,2
USA,,Jeff Nelson,Nick Adamson,,3,3,2,2,2,12,3
,,,,,,,,,,,4
,,,,,,,,,,,5
,,,,,,,,,,,6
,,,,,,,,,,,7
,,,,,,,,,,,8
,,,,,,,,,,,9
