Nation,Boat NO,Skipper,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Points,Place
USA,8714,Mike Martin,Steve Bourdow/Don Smith,,2,1,1,2,2,6,1
USA,8266,Howard Hamlin,Peter Alarie,,3,3,2,1,1,7,2
USA,8680,Bruce Edwards,Dave Shelton,,1,2,5,3,3,9,3
USA,7873,Nick Adamson,Alan Norman,,6,4,6,5,4,19,4
USA,7771,Andy Beeckman,Jeff Nelson,,5,5,4,6,5,19,5
CAN,8681,Robin Brown,John Andron,,7,8,DNS,4,6,25,6
USA,7201,Dan Thompson,Andy Zinn,,4,6,3,DNF,DNS,28,7
USA,8593,Evert Meyer,Chris Hanke,,8,7,7,7,7,28,8
USA,6227,Grant Murray,West Lewis,,12,11,8,9,DNS,40,9
USA,6983,Eric Willis,Windy Herzberg,,10,DNS,DNS,8,DNS,48,10
CAN,,Bailey White,Jeff Comber,,DNF,10,DNS,DNS,8,48,11
USA,7156,Aaron Ross,Steve Anders,,11,9,DNS,DNS,DNS,50,12
USA,,Doug Hagen,Steve Bartz,,9,DNF,DNF,DNS,DNS,54,13
USA,,Dan Strillis,Kristen Guinther,,13,DNS,DNS,DNF,DNS,58,14
