RSA,SailNo,HelmName,CrewName,Club,R1,R3,R4,R5,R6,Total,Nett,Rank
RSA,9063,Richard HuttonSquire,James Largier,TSC,-1,1,1,1,1,5,4,1st
RSA,9026,Tina Plattner,Anthony Norris,RCYC,2,2,2,-4,2,12,8,2nd
RSA,4437,Sean Ballantyne,Josh Banks,VYC,3,3,-4,3,3,16,12,3rd
RSA,8471,Justin Clark,Rob Van Rooyen,RCYC,-4,4,3,2,4,17,13,4th
RSA,8091,Grant Ballantyne,Courtney Ballantyne,VYC,5,(6 DNC),6 DNC,6 DNC,6 DNC,29,23,5th
