505
FINAL RESULTS FOR SERIES
CORK 1999 - 505 Class Results, LOWPOINT Scoring System
Includes Final Jury Decisions

POS SAIL SKIPPER RACE RACE RACE RACE RACE RACE RACE RACE TOTAL NET
 1 2 3 4 5 6 7 8 POINTS POINTS
 Fri. Fri. Sat. Sat. Sat. Sun. Sun. Sun. AFTER
 1401 1519 1058 1230 1400 1058 1153 1310 1 DROP
 1 USA8627 COLLINS, TIM BILL SMITH 2 1 1 1 DNF. 1 7 1 35.00 14.00 USA RI BRISTOL
 2 8264 BOYD, JEFF MARTIN TEN HOVE 1 2 2 3 1 2 3 4 18.00 14.00 CAN ON KINGSTON,KINGSTON YC
 3 8012 AMTHOR, HENRY DOUGLAS AMTH 3 5 5 2 3 5 11 2 36.00 25.00 USA VA HAMPTON,HAMPTON Y.C.
 4 USA8194 KIVNEY, THOMAS TODD JOHNSO 6 4 3 4 2 8 5 13 45.00 32.00 USA MA HINGHAM,HINGHAM YACHT CLUB
 5 8442 MORRIN, HUGH MICHAEL HOFFM 4 10 6 5 6 4 2 6 43.00 33.00 CAN ON OTTAWA,BRITANNIA Y.C.
 6 USA8438 MCILQUHAM, GORD BOB TURCKE 8 3 4 6 4 6 6 10 47.00 37.00 CAN ON KINGSTON,KINGSTON YC
 7 8024 CHATHAM, DAVID CHRIS JUNGE 5 12 7 7 7 3 9 9 59.00 47.00 USA RI NEWPORT,ST. FRANCIS YC
 8 CAN6910 HUGHES, RON JOHN BRYANT 11 7 15 11 11 7 4 3 69.00 54.00 CAN ON OTTAWA,NEPEAN SAIL.CLUB
 9 US7685 ALEXANDER, GRAHAM NATHAN B 10 9 12 13 8 10 8 5 75.00 62.00 USA OH BLACKLICK,HOOVER YC
 10 CAN7605 GESING, RENKA ADAM GESING 12 13 10 8 5 17 14 7 86.00 69.00 CAN ONT WINDSOR,SOUTH PORT SAILING CLUB
 11 CAN8233 BERTRAND, FRANCOIS ALAIN M 7 8 8 14 15 11 13 11 87.00 72.00 CAN PQ ANJOU,CLUB NAUTIQUE DEUX MONTAGNE
 12 CAN8698 YATES, STEPHEN IAN TORRIE 13 16 14 DNF. DNF. 9 1 8 103.00 82.00 CAN ONT KINGSTON,KINGSTON YACHT CLUB
 13 US8018 PAPADAKIS, STERGIOS IAN HI 9 11 18 16 10 16 12 12 104.00 86.00 CAN NJ PRINCETON
 14 8191 NELSON, MACY NICK NELSON 14 6 11 10 9 DNF. DNF. DNF. 113.00 92.00 USA MD BALTIMORE,WEST RIVER SAILING CLUB
 15 USA7879 JAMES, CLAYTON 19 17 17 12 13 13 10 14 115.00 96.00 USA VA SOUTH RIDING
 16 USA8624 STETSON, DAVID JUSTIN KITN 18 19 9 17 12 14 16 16 121.00 102.00 USA OH COLUMBUS,HOOVER YC
 17 7796 ASHBY, DEB DAVID ADAMS 16 18 16 15 16 12 15 15 123.00 105.00 CAN ONT OTTAWA,BRITANIA YC
 18 US8600 KAISER, KI JOHN BADTKE 15 15 13 9 14 DNF. DNF. DNF. 129.00 108.00 USA IL LAKE FOREST,WAUKEGAN YC
 19 US6660 CASHMAN, GEOFF BARRETT RHO 17 14 19 DNF. DNF. 15 17 17 141.00 120.00 USA IN COLUMBUS,INDIANA UNIVERSITY YC
 20 7793 SEIPLE, DAVE GEOFF SCHAEFE 20 20 20 DNF. DNF. 18 18 18 156.00 135.00 USA OH HILLIARD,LEATHERLIPS YC

