Nation,Boat No,SKIPPER,CREW,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Poits,Netto,Position
CAN,8442,Hugh Morrin,Michael Hoffman,,2*,1,1,1,1,2,1,"7,75","5,75",1
CAN,8260,Shona Moss Lovshin,Stephen Lovshin,,1,2,5,2,12 DNF*,1,4,"26,5","14,5",2
CAN,8264,Jeff Boyd,Florence Boyd,,5*,3,2,4,4,4,2,24,19,3
USA,8600,Kaiser,Badtke,,4,4,3,3,5*,5,3,27,22,4
CAN,8698,Graham Alexander,Steve Yates,,3,6,4,6,12 DNF*,3,12 DNF,45,33,5
USA,8265,Jim Tuten,Nathan Brown,,7,10*,7,5,3,7,9,48,38,6
USA,6660,Geoff Cashman,Barrett Rhodes,,6,9,8,8,2,9,14 DNS*,56,42,7
CAN,7605,Renka Gesing,Adam Gesing,,8,5,6,12 DNF*,12 DNF,6,5,56,42,8
USA,8624,David Stetson,Pete Frey,,11,7,12 DNF*,7,12 DNF,8,6,65,51,9
CAN,7857,Hennessy,Hennessy,,10,11,9,10,12 DNF*,10,8,69,57,10
USA,7347,Terman,Gill,,12 DNF,12,10,9,14 DNS*,11,7,76,62,11
USA,7685,Gesing,Dawson,,9,8,12 DNF,14 DNS*,14 DNS,14 DNS,14 DNS,87,73,12
USA,6663,Allan Brown,Stapley,,12 DNF,14 DNS*,12 DNF,14 DNS,14 DNS,14 DNS,14 DNS,98,84,13
