Nation,Sail no,SKIPPER,CREW,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Total,Drop,Netto,Position
CAN,8442,Morrin,Hoffman,,1,1,1,2*,2,1,1,7.75,2,5.75,1
CAN,8260,Lovshin,Lovshin,,3,2,3,1,1,5*,2,16.5,5,11.5,2
CAN,8410,Bush,Gillies,,2,3,2,4,3,2,9 DNF*,25,9,16,3
CAN,8233,Bertrand,Molimard,,5,5,4,3,7,10 DNS*,5,39,10,29,4
CAN,7950,Samson,Beaudoin,,8*,7,8,7,4,4,4,42,8,34,5
USA,7790,Tabardel,Eric Dumouchel,,7,8,5,6,6,9 DNF*,3,44,9,35,6
CAN,7798,Hurley,Wood,,4,6,6,5,5,9 DNF,10 DNS*,45,10,35,7
CAN,8264,Ashby,Adams,,6,4,7,9,8,6,9 DNF*,49,9,40,8
USA,5482,Philips,Schneider,,9,10 DNS*,9,8,9,3,6,54,10,44,9
