Nation,Båtnr,Rorsman,Gast,Klubb,Race 1,Race 2,Race 3,Race 4,Race 5,SUM,Place
SWE,7655,Krister Bergström,Olle Wenrup,GKSS,3,1,5,1,13,15.7,1
DEN,8056,Jørgen Holm,Finn Jensen,AYC,12,2,2,32,1,24,2
AUS,7481,Dean Blatchford,Tom Woods,RMYC,1,3,3,20,16,33.4,3
AUS,7831,Stephen McConaghy,Andrew McConaghy,RMYC,2,11,1,9,25,35,4
SWE,7922,Ebbe Rosén,Lars Stugemo,MKS,14,9,4,3,4,36.7,5
USA,7875,Jeff Miller,Jim Maloney,RYC,11,19,15,2,2,44,6
DEN,7902,Svend Erik Molbech,Paul Strange,SKS,4,6,14,5,34,49.7,7
FIN,7948,Hannu Merikallio,Jukka Lindfors,MSC,8,13,6,6,14,56.4,8
GBR,7973,Martin Jones,Steve Butcher,QMSC,7,7,DNF,10,12,60,9
AUS,7935,Peter Hewson,Alyn Ovenden,RMYC,5,26,18,7,11,64,10
GBR,8025,Clive Robinson,John Ironmonger,BSC,10,15,10,15,15,74,11
FRA,7931,Herve Wattinne,Louis-Michel Ces,CNLP,9,24,20,17,6,75.7,12
USA,7201,Howard Hamlin,Jay Glaser,NHYC,16,20,24,PMS,3,83.7,13
GBR,8034,Phil Milanes,John Labbett,FFSC,13,14,11,30,23,85,14
SWE,8022,Jesper Wallin,Karl-Aage Reerslev,HKK,25,27,40,8,5,88,15
SWE,7540,Anders Pettersson,Rikard Isby,HKK,32,31,19,11,7,92,16
GBR,8023,Russell Peters,Bill Masterman,,19,22,18,12,20,92,17
GBR,7979,Peter White,Kevin Richardson,,18,33,27,18,9,96,18
SWE,7593,Staffan Eklund,Anders Eklund,KSSS,29,12,30,4,30,97,19
FIN,7802,Matti Pentti,011i Karlsson,,20,18,9,37,36,107,20
GBR,7920,Paul Oakey,Paul Whitworth,,31,23,26,27,8,108,21
SWE,7343,Karl-Erik Nilsson,Christian Madsen,,15,21,35,29,21,110,22
SWE,7343,Kalle Nilsson,Christian Madsen,GKSS,15,21,35,29,21,110,23
GBR,8021,Rob Napier,Keith Summersgill,,21,30,31,14,22,111,24
DEN,8031,Lars Christensen,Jan Feddersen,,6,10,DNF,26,46,112,25
USA,7873,Ellen Ablow,Alan Norman,,28,37,8,36,18,115,26
FRA,8062,Philippe Boite,Jean LucMuzellec,,22,DNF,16,21,35,118,27
DEN,7820,S Skovsgard Sorensen,Morten Storgard,,30,17,29,19,32,119,28
GBR,8048,Chris Stodel,Colin Merrett,,DNF,8,25,23,40,120,29
FIN,7297,Seppo Kari,Timo Kari,,DNS,47,12,24,17,124,30
DEN,8030,Bo Petersen,Soren Storm,,DNF,4,7,49,44,126,31
FIN,7809,Peter Flinkman,Otto Toivanen,,33,32,22,25,38,136,32
AUS,7934,Mark Soulsby,Wayne Soulsby,,61,50,21,13,31,139,33
SWE,7507,Pelle Norberg,Claes Boman,BSS,36,29,28,22,DSQ,139,34
GBR,8051,David Peacock,Colin Smith,,DNF,5,PMS,28,10,144,35
GBR,8001,Martin Spence,Mark Longstaff,,34,42,PMS,31,27,158,36
FIN,7699,Kimmo Lautanen,Mika Pitkanen,,41,45,23,34,37,159,37
FRA,8000,Marcel Buffet,Marc Bourdon,,37,53,37,43,24,165,38
DEN,7697,Mikkel Storgard,A Frimodt-Moller,,47,39,PMS,47,19,176,39
GER,7757,Frank Dieckmann,Mark Dieckmann,,23,35,DNF,51,43,176,40
FIN,8053,Petri Ebeling,Esko Aho,,24,43,DNF,48,41,180,41
FRA,7872,Francois Fischer,Jerome Delveaux,,42,40,42,36,39,181,42
GER,7781,Andreas Thomsen,Reinhard Schultz,,53,38,DNF,40,28,183,43
FIN,7663,Aki Laakso,Jukka Suonpaa,,59,52,41,41,29,187,44
GBR,7912,Steve Arkley,Dick Vivers,,35,28,DNF,45,57,189,45
SWE,7463,Jan Nilsson,Karl-Otto Stromberg,,17,34,DNF,60,55,190,46
BEL,7431,Paul Gorremans,Alain Gorremans,,50,41,32,53,49,196,47
FRA,8008,Jean Marc Paquoette,Serge Ehrhardt,,DNF,16,DNF,33,50,201,48
SWE,7460,Kent Högberg,Gerry Högberg,GKSS,40,46,39,52,61,201,49
FRA,7870,Gilbert Vinches,Francois Padovani,,49,44,DNF,38,48,203,50
GER,7785,Stefan Pavel,Martin Bernauer,,52,51,44,35,58,206,51
FIN,7581,Kalle Nyman,Mats Bjorklund,,46,49,36,59,54,209,52
FIN,7824,Jyrki Kalavainen,Petri Kalavainen,,48,57,45,50,42,209,53
FRA,7932,Jacques Raguet,Jean F Bertrand,,43,56,46,62,52,221,54
IRL,7900,Julian Cooke,Andrew Morris,,39,60,DNF,54,51,228,55
FIN,7992,Ton Nyman,Bjorn Pundars,,DNF,55,DNF,39,33,229,56
FIN,7909,Jyrki Jarvi,Visa Hietalahti,,45,36,DNF,PMS,47,230,57
FIN,7658,Harri Kuusela,Akke Kuusela,,54,54,DNF,44,56,232,58
GBR,7626,William Ingram,Ken Norris,,38,48,DNF,64,63,237,59
GBR,7714,John Button,David Gibbons,,DNF,61,33,42,DNS,238,60
GBR,6959,Judith French,Peter French,,63,65,38,58,59,242,61
