Pos,Sail,Skipper,,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Total Points,Pos
USA,7200,Alexander Meller,,,3,1,4,1,1,2,12/DNC,12/DNC,2,38.00,1
USA,7068,Bob Patterson,,,5,4,6,4,4,5,4,4,5,41.00,2
USA,8722,Dustin Romey,,,1,6,4/ZFP,12/DNC,12/DNC,12/DNC,1,3,3,54.00,3
USA,814*,Stergios Papadakis,,,4,5,5,12/DNC,12/DNC,12/DNC,3,2,4,59.00,4
USA,8850,Doug Watson ,,,7,7,7,2,5,3,12/DNC,12/DNC,12/DNC,67.00,5
USA,6987,Finkelstein/Seamon,,,2,8,3/ZFP,12/DNC,12/DNC,12/DNC,6,5,12/DNC,72.00,6
USA,8851,Keith Davids,,,12/DNF,12/DNF,12/DNF,12/DNF,12/DNF,12/DNF,2,1,1,76.00,7
USA,8643,Barney Harris,,,12/DNC,3,12/RAF,12/DNC,3,1,12/DNC,12/DNC,12/DNC,79.00,8
USA,7150,Davies/Legg,,,12/DNC,12/DNC,12/DNC,3,2,4,12/DNC,12/DNC,12/DNC,81.00,9
USA,8790,Joe Morris,,,6,2,5/ZFP,12/DNC,12/DNC,12/DNC,12/DNC,12/DNC,12/DNC,85.00,10
USA,8190,John Hauser,,,12/DNF,12/DNF,12/DNF,12/DNF,12/DNF,12/DNF,5,12/DNC,12/DNC,101.00,11
