Pos,Sail,Skipper,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,TotalPoints,Pos
USA,7200,Alexander Meller,Kortbeek/Samos,,1,1,2,2,2,8.00,1
USA,8554,Romey,Falsone,,2,2,10/DNC,3,4,21.00,2
USA,8851,Davids,Torgeson,,10/DNC,10/DNC,1,1,1,23.00,3
USA,7068,Bob Patterson,Salisch,,3,10/DNC,3,4,6,26.00,4
USA,8351,David Burchfiel,Johnson,,10/DNC,3,4,6,7,30.00,5
USA,8865,Nicholas Place,Jay Bergquist,,10/DNC,10/DNC,10/DNC,5,3,38.00,6
USA,7776,Gildea,Rends,,10/DNC,10/DNC,5,7,10/DNC,42.00,7
USA,8854,Brendan Connell,,,10/DNC,10/DNC,10/DNC,10/DNC,5,45.00,8
USA,8850,Douglas Watson,,,10/DNC,10/DNC,10/DNC,10/DNC,10/DNC,50.00,9
