Country,Sail,Helm,Crew,,,Points,Place
,8715,Ethan Bixby,Erik Booth,St. Petersburg FL,,9,1
,8012,Henry Amthor,Doug Amthor,Hampton VA,,16,2
,8660,Nick Nelson,Ben Moon,Baltimore MD,,19,3
,8722,Macy Nelson,Dustin Romey,Baltimore MD,,25,4
,8830,Tim Collins,Drew Butner,New England,,32,5
,7200,Ali Meller,Mike Coe,Annapolis MD,,35,6
,8814,Lin Robson,Peter Dowdney,St. Petersburg FL,,40,7
AUS,871*,Earle Alexander,Ian Gregg,Down Under,,41,8
,6987,Jay Bergquist,Doug Hagan,Annapolis MD,,50,9
,7100,Parry Barclay,Rich Ryon,,,65,10
,7093,Garth Reynolds,Matt Everitt,Marblehead MA,,66,11
,7199,Stergios Papadakis,Mike Renda,Annapolis MD,,67,12
,8790,John Wyles,Peter Beardsley,Port Chester New York,,71,13
,8753,Ian McKeige,Doug McKeige,Rye New York,,75,14
,8083,Ted Ferrarone,Graham Schelter,Larchmont NY,,78,15
,8821,Katherine Long,Stephen Long,,,80,16
,8018,Nadine Quintana Krupinski,Sol Marini,New England,,90,17
,7346,Mark Angliss,Joe Keating,Denver CO,,109,18
