Pos,Sail,Skipper,,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Total Points,Pos
USA,7199,Stergios Papdakis,,,1,1,5,9/DNC,2,2,1,21.00,1
USA,7200,Ali Meller,,,9/DNF,9/DNF,1,2,1,1,2,25.00,2
USA,8851,Keith Davids,,,9/DNF,9/DNF,2,1,9/DNC,9/DNC,9/DNC,48.00,3
USA,8316,Nicholas Place,,,3,2,9/DNC,9/DNC,9/DNC,9/DNC,9/DNC,50.00,4
USA,,Amy Boothe,,,2,3,9/DNC,9/DNC,9/DNC,9/DNC,9/DNC,50.00,5
USA,8854,Brendan Connell,,,9/DNF,9/DNF,6,5,9/DNF,3,9/DNF,50.00,6
USA,7150,Chris Legg,,,9/DNF,9/DNF,4,3,9/DNC,9/DNC,9/DNC,52.00,7
USA,6987,Jay Bergquist,,,9/DNF,9/DNF,3,4,9/DNC,9/DNC,9/DNC,52.00,8
