Pos,Sail,Skipper,,,Race 1,Race 2,Total Points,Pos
USA,7199,Stergios Papadakis,,,1,2,3.00,1
USA,7200,Meller/Coe,,,3,1,4.00,2
USA,7092,Dustin Romey,,,2,3,5.00,3
USA,7150,Chris Legg,,,4,4,8.00,4
USA,6987,Jay Bergquist,,,5,5,10.00,5
