Pos,Sail,Skipper,,,Race 1,Race 2,Race 3,Race 4,Race 5,TotalPoints,Pos
USA,7200,Meller/Coe,,,3,1,10/OCS,2,1,17.00,1
USA,7150,Chris Legg,,,4,4,3,4,6,21.00,2
USA,8851,Keith Davids,,,10/DNF,10/DNF,1,1,2,24.00,3
USA,8629,Jesse Falsone,,,10/DNF,10/DNF,2,3,3,28.00,4
USA,7199,Stergios Papadakis,,,1,2,10/DNC,10/DNC,10/DNC,33.00,5
USA,8854,Brendan Connell,,,10/DNF,10/DNF,5,5,4,34.00,6
USA,7092,Dustin Romey,,,2,3,10/DNC,10/DNC,10/DNC,35.00,7
USA,7068,Patterson/Hermida,,,10/DNF,10/DNF,4,6,5,35.00,8
USA,6987,Jay Bergquist,,,5,5,10/DNC,10/DNC,10/DNC,40.00,9
