Country Sail,Skipper,Crew,,1,2,3,4,5,6,7,8,9,Total Points,Pos
USA 8714,Mike Martin,Jeff Nelson,,1,99 DNF*,1,1,1,12*,2,1,1,8,1
USA 9002,Mike Holt,Carl Smit,,2,1,2,2,2,3,4*,9*,4,16,2
AUS 8786,Chris Nicholson,Casey Smith,,4,3,3,3,3,7,8*,8*,3,26,3
GER 8875,Jens Findel,Johannes Tellen,,72*,5,6,5,12*,2,3,10,5,36,4
USA 8815,Dalton Bergan,Fritz Lanzinger,,8,8,4,10,15*,1,5,2,16*,38,5
USA 8081,Nick Adamson,Steve Bourdow,,9,2,13,4,4,4,17*,14*,2,38,6
USA 8762,Howie Hamlin,Ian Mitchell Paul Cayard,,5,6,99 RAF*,7,14*,5,10,5,6,44,7
USA 8913,Tyler Moore,Geoff Ewenson,,11,13,11,15*,16*,8,6,4,10,63,8
USA 8681,Ryan Cox,Stuart Park,,12,11,12,6,8,6,15*,22*,8,63,9
GBR 9012,Ian Pinnell,Carl Gibbon,,7,14,8,13,20*,10,11,3,99 DNF*,66,10
USA 8937,Kevin Taugher,Ben Benjamin,,14,4,10,18,99 DNF*,14,24*,13,7,80,11
USA 8854,Bruce Mahoney,Paul Allen,,24,7,7,8,19,17,38*,48*,11,93,12
GBR 8974,James Hunt,Neil Fulcher,,10,21,26*,9,9,32*,7,23,14,93,13
USA 8715,Ethan Bixby,Simon Gorman,,15,18,9,21,7,27*,26*,11,18,99,14
USA 9009,Bruce Edwards,David Shelton,,49*,99 DNF*,5,12,6,9,28,28,19,107,15
AUS 8946,Sandy Higgins,Paul Marsh,,3,12,17,24,24,33*,25*,21,12,113,16
AUS 8890,Malcolm Higgins,Nick Johnston,,99 DNS*,99 DNS*,23,25,13,22,1,15,17,116,17
DEN 8964,Jan Saugmann,Lasse Andreasen,,18,9,25,42*,99 DNF*,25,9,18,13,117,18
USA 8987,David Chatham,Jon Bell,,17,10,21,30*,35*,13,20,20,28,129,19
AUS 8794,Michael Babbage,James McAllister,,20,16,37*,20,48*,19,22,16,23,136,20
GER 8958,Stefan Bohm,Andreas Achterberg,,31,99 DNF*,24,19,5,36*,31,19,9,138,21
AUS 8801,Peter Chappell,Ian Davidson,,6,24,99 DNF*,17,10,37,51,7,99 DNF*,152,22
USA 7875,Jeff Miller,Mike Smith,,38*,15,22,16,25,57*,33,32,15,158,23
GBR 9006,Terry Scutcher,Christian Diebitsch,,13,99 DNF*,18,33,18,40*,39,25,21,167,24
GER 8843,Nicolai Volckner,Lars Derschotte Dehne,,19,17,20,41,26,28,60*,99 DNS*,34,185,25
GER 8651,Christian Kellner,Martin Schoeler,,52*,99 DNF*,31,35,17,26,36,6,36,187,26
GER 9020,Tim Boeger,Markus Schoener,,46*,20,16,43,64*,29,27,30,27,192,27
AUS 8853,Carter Jackson,Peter Holden,,36,30,99 DNF*,22,38,20,19,27,99 DNS*,192,28
USA 8953,Augie Diaz,Tommy Fink,,25,31,35,36*,41*,23,35,24,20,193,29
USA 8554,Ted Conrads,Brian Haines,,22,33,32,47*,29,24,14,40,99 DNS*,194,30
USA 8722,Macy Nelson,Parry Barclay,,41*,29,36*,28,36,15,21,31,35,195,31
USA 8824,Jen Morgan Glass,Ben Glass,,47,99 DNF*,15,11,22,31,46,99 DNF*,24,196,32
USA 8878,Matt Noble,Bill Erklends,,61*,25,29,27,34,21,29,35,44*,200,33
