Nation,Sail no.,Helsman,Crew,Club,R1,R2,R3,R4,R5,R6,R7,Total,Nett,Rank
DEN,9121,Jørgen Bojsen-Møller,Jacob Bojsen-Møller,Hellerup,2.0,1.0,5.0,(12.0),2.0,4.0,1.0,27.0,15.0,1st
DEN,9118,Jan Saugmann,Jakob Karbo,Hellerup,3.0,2.0,1.0,3.0,1.0,(8.0),7.0,25.0,17.0,2nd
GER,8669,Jan-Philipp Hofmann,Felix Brockerhoff,DYC and DUYC,1.0,8.0,3.0,(45.0 DSQ),5.0,1.0,3.0,66.0,21.0,3rd
DEN,9128,Nikolaj Hoffmann Buhl,Henrik Buhl,Hellerup Sejlklub,7.0,3.0,2.0,5.0,6.0,(12.0),4.0,39.0,27.0,4th
USA,9153,Howie Hamlin,Jon Bell,NHYC / ABYC,8.0,4.0,(10.0),2.0,10.0,5.0,2.0,41.0,31.0,5th
SUI,9096,Cédric Bart,Laurent Grob,CNB/CVN,(10.0),5.0,6.0,8.0,3.0,10.0,5.0,47.0,37.0,6th
GER,9110,Tim Böger,Finn Böger,HSC,4.0,6.0,4.0,11.0,7.0,7.0,(32.0),71.0,39.0,7th
AUS,9134,Michael Quirk,Nathan Quirk,RPEYC,5.0,10.0,(13.0),4.0,9.0,3.0,9.0,53.0,40.0,8th
GER,8929,Kai Bertallot,Jan Reifferscheidt,Flensburger Segel-Club,11.0,7.0,12.0,6.0,4.0,2.0,(18.0),60.0,42.0,9th
GER,9112,Morten Bogacki,Lars Dehne,DYC/ZSK,(45.0 DNC),18.0,8.0,1.0,11.0,14.0,6.0,103.0,58.0,10th
SWE,8926,Ebbe Rosén,Olle Wenrup,MKS,6.0,15.0,9.0,13.0,13.0,6.0,(19.0),81.0,62.0,11th
SWE,8923,Lars Hultgren,Axel Hultgren,Råå Jolleklubb,16.0,14.0,7.0,18.0,8.0,(23.0),14.0,100.0,77.0,12th
SWE,8586,Galen Mack,Wilhelm Johanisson,KSSS,18.0,16.0,14.0,9.0,14.0,(20.0),11.0,102.0,82.0,13th
GER,8975,Alexander Holzapfel,Antoine Godet,Post-Sportverein Koblenz,(22.0),17.0,20.0,17.0,12.0,9.0,12.0,109.0,87.0,14th
GER,9101,Stefan Giesler,Frank Böhm,VSAW,(45.0 DSQ),9.0,18.0,16.0,22.0,17.0,8.0,135.0,90.0,15th
FIN,9069,Jari Hamström,Tuomas Laurila,KuoPs,14.0,12.0,(25.0),23.0,20.0,16.0,10.0,120.0,95.0,16th
DEN,8828,Fabiola Wonterghem,Michael Wonterghem,Sorø Sejlforening,19.0,19.0,15.0,10.0,15.0,19.0,(30.0),127.0,97.0,17th
SWE,8651,Peter Andersson,Per-Eric Thörnström,SS Viken-Ägir,15.0,11.0,16.0,(45.0 DNF),17.0,27.0,13.0,144.0,99.0,18th
GER,8519,Thure Gnadeberg,Aron Tellen,Baltische Segler-Vereinigung,17.0,13.0,(27.0),15.0,16.0,18.0,20.0,126.0,99.0,19th
SWE,8848,Marcus Haas,Johan Calvert,Björlanda Kile SS,13.0,(45.0 DSQ),11.0,21.0,18.0,26.0,16.0,150.0,105.0,20th
DEN,8440,Martin Friderichsen,Mads Christiansen,AS,21.0,21.0,(24.0),7.0,21.0,24.0,15.0,133.0,109.0,21st
AUS,9028,Earle Alexander,Adam Kenney,Darling Point SS,9.0,22.0,17.0,25.0,(27.0),13.0,24.0,137.0,110.0,22nd
SWE,8666,Anders Dahlén,Magnus Nilsson,TBS,20.0,24.0,23.0,14.0,(30.0),15.0,27.0,153.0,123.0,23rd
SWE,9092,Knut Hastenpflug,Toni Hastenpflug,SS Åmålsviken,12.0,23.0,29.0,19.0,25.0,22.0,(34.0),164.0,130.0,24th
