Nation,SailNo,HelmName,CrewName,"27/4:1
 ","27/4:2
 ","4/5:1
 ","4/5:2
 ","18/5:1
 ","18/5:2
 ","25/5:1
 ","25/5:2
 ","1/6:1
 ","1/6:2
 ","8/6:1
 ","8/6:2
 ","17/8:1
17/8","17/8:2
 ","24/8:1
 ","24/8:2
 ","31/8:1
 ","31/8:2
 ","7/9:1
 ","7/9:2
 ","14/9:1
 ","14/9:2
 ","21/9:1
 ",Total,Poäng,Place
SWE,8651,Peter Andersson,Per-Erik Thörnström,,,3,(4.0),2,2,1,1,1,1,2,1,(17.0 DNC),(17.0 DNC),1,1,2,3,3,(5.0),2,1,4,74,31,1
SWE,8666,Anders Dahlén,Magnus Nilsson,,,(5.0),3,3,3,3,(13.0 OCS),(4.0),4,(5.0),4,1,1,2,3,1,1,2,1,1,2,2,64,37,2
SWE,8837,Tord Lawner,Tomas Gustafsson,,,(9.0),7,(17.0 DNC),(17.0 DNC),6,4,3,3,6,6,4,2,5,2,(8.0),4,4,3,3,3,3,119,68,3
SWE,8581,PA Hallberg,Frank Bach,,,2,1,(17.0 DNC),(17.0 DNC),2,2,2,2,1,8.7 RDGa,3,3,(17.0 DNC),(17.0 DNC),17.0 DNC,17.0 DNC,1,2,17.0 DNC,17.0 DNC,17.0 DNC,182.7,114.7,4
SWE,8632,Mats Lindgren,Felix Stööp,,,10,10,6,6,8,7,(17.0 DNC),(17.0 DNC),10,11,6,6,(17.0 DNC),(17.0 DNC),7,7,6,6,17.0 DNC,17.0 DNC,6,214,146,5
SWE,8585,Malin Vångfors,Daniel Lundahl,,,8,9,4,4,(17.0 DNC),(17.0 DNC),(17.0 DNC),(17.0 DNC),8,10,5,5,17.0 DNC,17.0 DNC,5,6,7,4,17.0 DNC,17.0 DNC,5,216,148,6
SWE,9107,Sven Flood,med flera,,,6,8,5,5,12.0 DSQ,8,(17.0 DNC),(17.0 DNC),11,7,(17.0 DNC),(17.0 DNC),3,5,6,8,5,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,225,157,7
SWE,8787,Johan Johansson,Anders Ekberg,,,4,5,1,1,5,3,(17.0 DNC),(17.0 DNC),3,3,(17.0 DNC),(17.0 DNC),17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,4,17.0 DNC,17.0 DNC,233,165,8
SWE,8257,Fredrik Mollander,Thomas Jaring,,,(17.0 DNC),(17.0 DNC),(17.0 DNC),(17.0 DNC),17.0 DNC,6,17.0 DNC,17.0 DNC,9,8,17.0 DNC,17.0 DNC,4,4,4,5,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,7,268,200,9
SWE,9038,Lars Bjerke,Tore Reinhold,,,(17.0 DNC),(17.0 DNC),(17.0 DNC),(17.0 DNC),17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,2,4,17.0 DNC,17.0 DNC,3,2,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,1,284,216,10
SWE,8323,Hanna Bach,Fredrik Bach,,,7,11,(17.0 DNC),(17.0 DNC),7,5,(17.0 DNC),(17.0 DNC),12,9,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,306,238,11
SWE,8412,David Lawenius,Anders Ekberg,,,(17.0 DNC),(17.0 DNC),(17.0 DNC),(17.0 DNC),4,13.0 OCS,17.0 DNC,17.0 DNC,7,2,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,315,247,12
SWE,7507,Patrik Westerlund,Rasmus Tengblad,,,(17.0 DNC),(17.0 DNC),(17.0 DNC),(17.0 DNC),9,9,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,8,7,17.0 DNC,17.0 DNC,17.0 DNC,322,254,13
SWE,7937,Johan Barne,Oscar Angerwall,,,1,2,(17.0 DNC),(17.0 DNC),(17.0 DNC),(17.0 DNC),17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,326,258,14
SWE,8945,Caroline Lexén,Mattias Stenqvist,,,11,6,(17.0 DNC),(17.0 DNC),10,10,(17.0 DNC),(17.0 DNC),17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,326,258,15
SWE,8912,Tom Hastenpflug,Toni Hastenpflug,,,(17.0 DNC),(17.0 DNC),(17.0 DNC),(17.0 DNC),17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,4,5,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,17.0 DNC,332,264,16
