Country,SAIL#,SKIPPER,CREW,Club,RACE 1,RACE 2,RACE 3,RACE 4,RACE 5,RACE 6,,POINTS,POS
SWE,7593,Staffan Eklund,Anders Eklund,,1,2,1,1,1,2,,3,1
SWE,7033,Peter Johnsson,Lars Reinius,,2,31,3,2,2,DNS,,"20,4",2
DEN,7540,Claus Cato Nielsen,Asbjörn Gregersen,,8,5,2,9,5,6,,"48,7",3
SWE,7471,Bo Ferm,Lars Johansson,,3,4,7,15,4,8,,"48,7",4
SWE,7591,Ebbe Rosén,Göran Söderström,,4,18,11,4,7,3,,"51,7",5
SWE,7455,Petter Bengtsson,Lars Hultgren,,5,12,5,13,6,5,,"59,7",6
SWE,7507,Annelie Rydqvist,Mikael Widmark,,17,9,12,8,9,1,,62,7
FIN,7581,Petri Leksis,Kimmo Lautanen,,15,13,17,5,3,10,,"71,7",8
DEN,7162,Michael Staal,Erik Lund,,16,16,4,12,0,9,,77,9
SWE,7181,Gunilla Berg,Erik Kallin,,9,1,15,18,13,DNF,,79,10
FIN,7121,Hannu Merikallio,Olli Karlsson,,13,17,6,6,12,13,,"79,4",11
SWE,7297,Per Oskarsson,Lars Edström,,6,21,9,10,11,15,,"80,7",12
FIN,7273,Mikko Saarela,Tom Lindström,,7,8,16,DNF,16,7,,84,13
SWE,7166,Anders Petersson,Lars Nyholm,,23,6,13,11,21,12,,"92,7",14
DEN,7466,Jesper Christensen,Jan Hansen,,10,15,8,16,15,17,,94,15
SWE,7482,Niklas Philipson,Lars Stugemo,,19,7,10,3,DNF,DNF,,"95,7",16
SWE,7296,Anders Karlsson,Lars Lexell,,20,20,21,7,17,4,,96,17
FIN,7049,Tom Sjöman,Per Strömman,,12,10,19,14,18,14,,98,18
FIN,7467,George Gebhard,Andreas Siponen,,21,14,22,17,10,11,,103,19
FIN,5750,Timo Markkanen,Tuomo Kokkonen,,14,23,20,21,14,16,,115,20
FIN,6803,Jarl Eloranta,Petri Fagerström,,22,28,18,19,20,19,,128,21
FIN,7356,Karl Miettinen,Lasse Pälvimäki,,24,22,24,20,DNF,20,,140,22
SWE,6434,Mats Falle,Björn Gustavsson,,25,25,23,23,19,21,,141,23
SWE,7316,Olle Bergqvist,Max Tollqvist,,11,11,DNF,DNS,DNS,DNS,,142,24
SWE,6621,Anders Fasteson,Göran Ek,,26,19,DNF,DNF,22,18,,145,25
FIN,6115,Peter Flinkman,Otto Toivanen,,18,24,14,DNS,DNS,DNS,,146,26
SWE,7165,Rolf Lundström,Stefan Sundblom,,28,26,P,22,23,DNF,,159,27
FIN,6552,Jaakko Saarela,Juha Alitalo,,27,27,DNF,24,DNF,22,,160,28
FIN,6134,Stefan Slotte,Tor Winquist,,29,DSQ,DNF,25,24,23,,161,29
