Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Points Total,Place
GER,7861,Th. Röder,S. Ebeling,,1,3,1,3,1
GER,7745,Rudolf Baalmann,G. Griska,,5,2,2,8,2
BEL,7431,Marc Stockbroek,Corremans,,6,1,3,9,3
GER,7550,Kati Jenssen,Peer Jenssen,,4,5,6,15,4
GER,7451,Ewald Brzoska,Th. Millor,,10,4,4,18,5
NED,7676,Ben Vaes,Jos Vaes,,3,8,9,20,6
GER,6505,Thomas Cramer,Helge von der Linden,,2,DNF,5,21,7
GER,7742,F. Schaar,G. Heide,,8,7,7,22,8
GER,6770,Karl-Heinz Hilgers,,,9,6,8,23,9
GER,7130,F. Sobott,T. Mengel,,13,9,10,32,10
GER,7587,Walter Kolm,Jörg Huth,,11,10,11,32,11
GER,,St. Hoppe,T. Wirtz,,12,11,DNF,35,12
GER,5779,Jörg Hinnen,Jonny Norder,,7,DNF,DNS,38,13
GBR,7369,Westerhof,Westerhof,,14,DNF,DNS,45,14
GBR,7693,Alter,Nolle,,15,DNF,DNS,46,15
GER,7838,P. Gellrich,R. Lubbe,,16,DNF,DNS,47,16
GER,6561,St. Uden,Luh.Stehmayer,,17,DNF,DNS,48,17
